TIME,RATE
318020482.1,NULL
318020532.1,NULL
318020582.1,NULL
318020632.1,NULL
318020682.1,NULL
318020732.1,NULL
318020782.1,NULL
318020832.1,NULL
318020882.1,NULL
318020932.1,NULL
318020982.1,NULL
318021032.1,NULL
318021082.1,NULL
318021132.1,NULL
318021182.1,NULL
318021232.1,NULL
318021282.1,NULL
318021332.1,NULL
318021382.1,NULL
318021432.1,NULL
318021482.1,NULL
318021532.1,NULL
318021582.1,NULL
318021632.1,NULL
318021682.1,NULL
318021732.1,NULL
318021782.1,NULL
318021832.1,NULL
318021882.1,NULL
318021932.1,NULL
318021982.1,NULL
318022032.1,NULL
318022082.1,NULL
318022132.1,NULL
318022182.1,NULL
318022232.1,NULL
318022282.1,NULL
318022332.1,NULL
318022382.1,NULL
318022432.1,NULL
318022482.1,NULL
318022532.1,NULL
318022582.1,NULL
318022632.1,NULL
318022682.1,NULL
318022732.1,NULL
318022782.1,NULL
318022832.1,NULL
318022882.1,NULL
318022932.1,NULL
318022982.1,NULL
318023032.1,NULL
318023082.1,NULL
318023132.1,NULL
318023182.1,NULL
318023232.1,NULL
318023282.1,NULL
318023332.1,NULL
318023382.1,NULL
318023432.1,NULL
318023482.1,NULL
318023532.1,NULL
318023582.1,NULL
318023632.1,NULL
318023682.1,NULL
318023732.1,NULL
318023782.1,NULL
318023832.1,NULL
318023882.1,NULL
318023932.1,NULL
318023982.1,NULL
318024032.1,NULL
318024082.1,NULL
318024132.1,NULL
318024182.1,NULL
318024232.1,NULL
318024282.1,NULL
318024332.1,NULL
318024382.1,6.708604
318024432.1,7.128414
318024482.1,NULL
318024532.1,NULL
318024582.1,6.653771
318024632.1,6.603644
318024682.1,5.54881
318024732.1,6.084072
318024782.1,6.297231
318024832.1,5.351809
318024882.1,5.049115
318024932.1,5.921305
318024982.1,5.687393
318025032.1,5.367596
318025082.1,4.955505
318025132.1,5.712496
318025182.1,5.360737
318025232.1,5.801902
318025282.1,5.880094
318025332.1,4.93031
318025382.1,4.453001
318025432.1,4.145541
318025482.1,3.416671
318025532.1,3.18585
318025582.1,4.137067
318025632.1,3.836597
318025682.1,4.206431
318025732.1,3.439071
318025782.1,4.795126
318025832.1,4.314968
318025882.1,5.032335
318025932.1,4.677791
318025982.1,4.850169
318026032.1,4.127305
318026082.1,5.142492
318026132.1,4.756556
318026182.1,4.669591
318026232.1,5.190582
318026282.1,5.408692
318026332.1,4.370811
318026382.1,4.419508
318026432.1,4.483911
318026482.1,3.811546
318026532.1,4.492304
318026582.1,4.065609
318026632.1,4.217103
318026682.1,4.339165
318026732.1,4.798484
318026782.1,4.130108
318026832.1,4.524737
318026882.1,3.695078
318026932.1,3.785285
318026982.1,4.537495
318027032.1,4.225734
318027082.1,4.871922
318027132.1,3.933566
318027182.1,4.727179
318027232.1,5.436242
318027282.1,4.935635
318027332.1,4.435805
318027382.1,5.971227
318027432.1,5.014343
318027482.1,4.322915
318027532.1,4.504223
318027582.1,5.380728
318027632.1,4.111722
318027682.1,5.1761
318027732.1,4.221262
318027782.1,5.336099
318027832.1,4.484014
318027882.1,4.393722
318027932.1,3.361294
318027982.1,4.094048
318028032.1,4.477008
318028082.1,4.740236
318028132.1,3.738297
318028182.1,4.123268
318028232.1,3.312012
318028282.1,3.706007
318028332.1,2.939374
318028382.1,4.107423
318028432.1,3.892149
318028482.1,3.859908
318028532.1,4.774583
318028582.1,4.552393
318028632.1,4.115344
318028682.1,4.299728
318028732.1,4.607281
318028782.1,4.113359
318028832.1,3.880102
318028882.1,3.339035
318028932.1,4.33862
318028982.1,3.762873
318029032.1,3.516403
318029082.1,4.32796
318029132.1,3.885992
318029182.1,3.566617
318029232.1,4.217711
318029282.1,4.990537
318029332.1,4.363753
318029382.1,4.369936
318029432.1,3.797335
318029482.1,3.59637
318029532.1,3.027108
318029582.1,2.969831
318029632.1,3.279876
318029682.1,3.408037
318029732.1,3.198702
318029782.1,2.885957
318029832.1,3.149067
318029882.1,2.677039
318029932.1,3.342263
318029982.1,2.964396
318030032.1,2.471074
318030082.1,3.044233
318030132.1,3.170407
318030182.1,3.340358
318030232.1,2.757039
318030282.1,2.200123
318030332.1,2.626077
