TIME,RATE
400899777.9,4.599489
400899827.9,5.856511
400899877.9,4.391314
400899927.9,5.062376
400899977.9,5.437147
400900027.9,4.274984
400900077.9,4.970441
400900127.9,3.9873
400900177.9,4.339391
400900227.9,4.455229
400900277.9,4.299056
400900327.9,4.704879
400900377.9,4.119936
400900427.9,5.181432
400900477.9,4.91637
400900527.9,5.126309
400900577.9,5.192406
400900627.9,5.659397
400900677.9,5.852115
400900727.9,4.716464
400900777.9,5.374497
400900827.9,4.13427
400900877.9,4.652297
400900927.9,5.649354
400900977.9,3.390896
400901027.9,3.867494
400901077.9,3.848962
400901127.9,3.578874
400901177.9,2.995622
400901227.9,3.578322
400901277.9,4.121898
400901327.9,5.097697
400901377.9,3.587591
400901427.9,3.187906
400901477.9,4.652111
400901527.9,3.727476
400901577.9,3.656829
400901627.9,2.328751
400901677.9,3.519071
400901727.9,2.131963
400901777.9,2.519599
400901827.9,2.530497
400901877.9,2.528327
400901927.9,2.723656
400901977.9,2.918627
400902027.9,2.583391
400902077.9,2.270871
400902127.9,2.721808
400902177.9,2.719604
400902227.9,2.129781
400902277.9,1.597847
400902327.9,2.726244
400902377.9,2.119452
400902427.9,2.391886
400902477.9,1.464286
400902527.9,1.926446
400902577.9,1.86735
400902627.9,1.66023
400902677.9,1.792825
400902727.9,1.995907
400902777.9,1.46433
400902827.9,3.326011
400902877.9,1.456217
400902927.9,1.729666
400902977.9,2.252879
400903027.9,2.058609
400903077.9,1.853956
400903127.9,2.525709
400903177.9,2.248966
400903227.9,2.057328
400903277.9,3.126486
400903327.9,2.84885
400903377.9,1.53051
400903427.9,2.536512
400903477.9,2.527865
400903527.9,2.857663
400903577.9,2.396488
400903627.9,3.057524
400903677.9,1.723822
400903727.9,3.519851
400903777.9,3.064494
400903827.9,2.514374
400903877.9,3.32982
400903927.9,3.394476
400903977.9,1.330204
400904027.9,2.195226
400904077.9,4.263841
400904127.9,2.591654
400904177.9,2.658755
400904227.9,3.320398
400904277.9,2.388324
400904327.9,3.982247
400904377.9,3.194455
400904427.9,3.32108
400904477.9,3.187056
400904527.9,2.978057
400904577.9,2.723547
400904627.9,4.391037
400904677.9,2.996122
400904727.9,2.856254
400904777.9,3.054238
400904827.9,3.526212
400904877.9,2.929977
400904927.9,3.736118
400904977.9,3.179319
400905027.9,3.723154
400905077.9,3.115988
400905127.9,3.187099
400905177.9,3.251492
400905227.9,3.781946
400905277.9,3.402987
400905327.9,2.064121
400905377.9,2.936153
400905427.9,4.064013
400905477.9,3.05004
400905527.9,2.923743
400905577.9,3.708106
400905627.9,4.382402
400905677.9,1.98924
400905727.9,4.385052
400905777.9,4.46904
