TIME,RATE
400726853.517,3.546427
400726903.517,3.504234
400726953.517,3.315331
400727003.517,3.139771
400727053.517,4.417067
400727103.517,2.308552
400727153.517,2.806533
400727203.517,4.977163
400727253.517,4.062433
400727303.517,4.511726
400727353.517,2.802194
400727403.517,3.509519
400727453.517,4.436594
400727503.517,4.981204
400727553.517,3.041979
400727603.517,5.053726
400727653.517,4.41568
400727703.517,4.329145
400727753.517,4.070248
400727803.517,4.655468
400727853.517,6.25392
400727903.517,5.072351
400727953.517,6.65046
400728003.517,6.53082
400728053.517,5.932765
400728103.517,5.425373
400728153.517,7.009174
400728203.517,3.871478
400728253.517,5.337587
400728303.517,4.880635
400728353.517,5.535538
400728403.517,5.246598
400728453.517,6.549204
400728503.517,4.601258
400728553.517,5.937864
400728603.517,4.835114
400728653.517,4.561411
400728703.517,6.472688
400728753.517,6.395436
400728803.517,6.223756
400728853.517,4.978403
400728903.517,6.17341
400728953.517,5.984962
400729003.517,5.602606
400729053.517,6.809555
400729103.517,6.083237
400729153.517,6.778179
400729203.517,6.903783
400729253.517,7.361402
400729303.517,6.897365
400729353.517,5.815751
400729403.517,6.088323
400729453.517,5.809658
400729503.517,4.886939
400729553.517,5.060695
400729603.517,5.430284
400729653.517,4.152647
400729703.517,6.339892
400729753.517,4.788054
400729803.517,5.964483
400729853.517,4.51186
400729903.517,5.618165
400729953.517,4.339476
400730003.517,3.77974
400730053.517,5.341585
400730103.517,3.959522
400730153.517,3.413464
400730203.517,3.225137
400730253.517,3.329292
400730303.517,4.054908
400730353.517,4.331196
400730403.517,3.876979
400730453.517,3.9617
400730503.517,4.052052
400730553.517,4.059842
400730603.517,4.342169
400730653.517,4.512676
400730703.517,4.506317
400730753.517,3.787604
400730803.517,3.500528
400730853.517,4.14553
400730903.517,5.302129
400730953.517,5.166385
400731003.517,3.735538
400731053.517,4.149799
400731103.517,3.445586
400731153.517,3.598324
400731203.517,4.789077
400731253.517,3.955788
400731303.517,3.676224
400731353.517,5.064409
400731403.517,4.344254
400731453.517,2.488441
400731503.517,3.775974
400731553.517,3.398103
400731603.517,2.763444
400731653.517,3.146147
400731703.517,3.86613
400731753.517,3.229299
400731803.517,3.591115
400731853.517,2.676338
400731903.517,3.86466
400731953.517,3.035644
400732003.517,3.316834
400732053.517,3.325832
400732103.517,3.501655
400732153.517,3.358942
400732203.517,2.488274
400732253.517,2.67857
400732303.517,2.940789
400732353.517,2.586236
400732403.517,3.870203
400732453.517,2.675019
400732503.517,3.313045
400732553.517,2.583744
400732603.517,3.131119
400732653.517,3.689356
400732703.517,3.136067
400732753.517,3.588277
400732803.517,2.765711
400732853.517,3.673448
400732903.517,2.980856
400732953.517,3.228079
400733003.517,3.506583
400733053.517,3.132481
400733103.517,3.781764
400733153.517,3.959176
400733203.517,2.766297
400733253.517,3.413758
400733303.517,2.987694
400733353.517,3.508841
400733403.517,3.678571
400733453.517,3.094454
400733503.517,3.998726
400733553.517,4.620609
400733603.517,2.842189
400733653.517,3.957841
400733703.517,4.611462
400733753.517,3.270503
400733803.517,2.346257
400733853.517,2.759156
400733903.517,4.967943
400733953.517,4.327048
400734003.517,3.809977
400734053.517,3.774518
400734103.517,4.048793
400734153.517,3.781564
400734203.517,3.960933
400734253.517,3.585854
400734303.517,4.428689
400734353.517,3.216787
400734403.517,4.331137
400734453.517,4.148181
400734503.517,4.003722
400734553.517,3.411531
400734603.517,2.621672
400734653.517,2.94877
400734703.517,3.133656
400734753.517,2.954129
400734803.517,2.952097
400734853.517,2.303863
400734903.517,2.126533
400734953.517,2.344761
400735003.517,2.898741
400735053.517,2.489439
400735103.517,2.305485
400735153.517,2.408785
400735203.517,2.217299
400735253.517,2.402113
400735303.517,2.026206
400735353.517,2.714727
400735403.517,2.580865
400735453.517,2.954015
400735503.517,2.705245
400735553.517,2.581296
400735603.517,2.496756
400735653.517,2.577464
400735703.517,1.845973
400735753.517,2.956519
400735803.517,2.404488
400735853.517,2.029454
400735903.517,2.854357
400735953.517,2.718391
400736003.517,2.39866
400736053.517,2.7614
400736103.517,1.60925
400736153.517,2.025728
400736203.517,1.696898
400736253.517,2.290779
400736303.517,1.479047
400736353.517,2.401522
400736403.517,1.753721
400736453.517,2.117289
400736503.517,2.430392
400736553.517,2.576096
400736603.517,2.480921
400736653.517,1.478155
400736703.517,1.657706
400736753.517,1.014868
400736803.517,1.20226
400736853.517,1.473952
400736903.517,1.108355
400736953.517,2.484615
400737003.517,1.106148
400737053.517,1.751459
400737103.517,1.473284
400737153.517,2.341748
400737203.517,1.749892
400737253.517,2.025241
400737303.517,2.212385
400737353.517,1.936524
400737403.517,2.03041
400737453.517,1.750132
400737503.517,1.971205
400737553.517,1.472766
400737603.517,1.661393
400737653.517,2.347347
400737703.517,2.126662
400737753.517,1.853672
400737803.517,2.035953
400737853.517,2.305052
400737903.517,2.209789
400737953.517,2.026542
400738003.517,1.197244
400738053.517,0.8290812
400738103.517,1.475006
400738153.517,1.654473
400738203.517,1.103902
400738253.517,1.327097
400738303.517,1.75451
400738353.517,1.473653
400738403.517,1.568071
400738453.517,1.699632
400738503.517,1.568018
400738553.517,1.472141
400738603.517,1.934418
400738653.517,1.194889
400738703.517,1.106602
400738753.517,1.052182
400738803.517,1.479546
400738853.517,2.032519
400738903.517,1.697927
400738953.517,1.842546
400739003.517,1.933852
400739053.517,1.472273
400739103.517,2.495327
400739153.517,2.4857
400739203.517,1.972906
400739253.517,1.750429
400739303.517,2.682876
400739353.517,1.84685
400739403.517,2.438626
400739453.517,2.339351
400739503.517,2.579211
400739553.517,2.301209
400739603.517,2.437864
400739653.517,3.1287
400739703.517,4.23649
400739753.517,3.226487
400739803.517,4.332197
400739853.517,3.45587
400739903.517,3.232168
400739953.517,3.145341
400740003.517,4.56338
400740053.517,3.968182
400740103.517,3.445605
400740153.517,3.860573
400740203.517,3.219059
400740253.517,3.772702
400740303.517,4.328707
400740353.517,5.338006
400740403.517,5.006805
400740453.517,5.114285
400740503.517,5.339293
400740553.517,3.69004
400740603.517,4.749124
400740653.517,5.292304
400740703.517,4.520915
400740753.517,4.602149
400740803.517,5.614868
400740853.517,3.687531
400740903.517,5.590318
400740953.517,6.350316
400741003.517,4.331451
400741053.517,4.705114
400741103.517,4.098176
400741153.517,3.226345
400741203.517,4.242822
400741253.517,5.120618
400741303.517,4.980964
400741353.517,3.227031
400741403.517,3.531329
400741453.517,4.60717
400741503.517,3.139864
400741553.517,3.775252
400741603.517,3.504783
400741653.517,3.77615
400741703.517,2.673719
400741753.517,2.66188
400741803.517,3.593114
400741853.517,3.314508
400741903.517,2.586029
400741953.517,2.580775
400742003.517,2.586206
400742053.517,1.602491
400742103.517,2.399948
400742153.517,2.029977
400742203.517,2.614778
400742253.517,2.496159
400742303.517,2.030148
400742353.517,1.93522
400742403.517,2.584608
400742453.517,2.437304
400742503.517,1.660213
400742553.517,2.432163
400742603.517,2.213948
400742653.517,2.392142
400742703.517,2.119888
400742753.517,2.256991
400742803.517,2.124006
400742853.517,2.209961
400742903.517,1.476353
400742953.517,2.118108
400743003.517,2.298205
400743053.517,2.575048
400743103.517,2.20891
400743153.517,2.802206
400743203.517,1.70003
400743253.517,2.672476
400743303.517,2.347013
400743353.517,1.658788
400743403.517,2.528844
400743453.517,2.395737
400743503.517,1.104251
400743553.517,2.765633
400743603.517,1.842199
400743653.517,2.856295
400743703.517,2.670122
400743753.517,1.972481
400743803.517,2.213764
400743853.517,1.939208
400743903.517,2.58036
400743953.517,1.381349
400744003.517,2.064129
400744053.517,2.125628
400744103.517,1.473709
400744153.517,1.386292
400744203.517,3.233127
400744253.517,2.301698
400744303.517,2.214526
400744353.517,1.93507
400744403.517,1.749348
400744453.517,2.304395
400744503.517,1.750732
400744553.517,1.935194
400744603.517,2.393564
400744653.517,1.932724
400744703.517,2.306704
400744753.517,1.933294
400744803.517,2.11822
400744853.517,2.065769
400744903.517,2.946951
400744953.517,2.85317
400745003.517,2.210049
400745053.517,1.753067
400745103.517,2.402112
400745153.517,2.211138
400745203.517,1.698771
400745253.517,2.028143
400745303.517,1.841885
400745353.517,2.67263
400745403.517,1.978262
400745453.517,2.397168
400745503.517,3.084286
400745553.517,3.236277
400745603.517,2.985266
400745653.517,2.477895
400745703.517,2.671779
400745753.517,2.866957
400745803.517,1.800876
400745853.517,3.595293
400745903.517,1.976404
400745953.517,2.535304
400746003.517,3.047911
400746053.517,2.854941
400746103.517,2.992604
400746153.517,3.331721
400746203.517,3.413357
400746253.517,2.58192
400746303.517,3.222728
400746353.517,2.585256
400746403.517,2.673316
400746453.517,3.214951
400746503.517,5.058288
400746553.517,5.26073
400746603.517,3.919212
400746653.517,4.34079
400746703.517,4.6064
400746753.517,4.553479
400746803.517,4.466892
400746853.517,4.060942
400746903.517,4.752046
400746953.517,5.385024
400747003.517,6.168571
400747053.517,5.446525
400747103.517,4.235327
400747153.517,4.982302
400747203.517,5.894589
400747253.517,4.977701
400747303.517,5.524536
400747353.517,5.2492
400747403.517,3.818212
400747453.517,3.963016
400747503.517,4.978147
400747553.517,6.034191
400747603.517,4.967288
400747653.517,4.23004
400747703.517,4.245329
400747753.517,4.248003
400747803.517,4.139994
400747853.517,4.88685
400747903.517,3.591308
400747953.517,4.13977
400748003.517,4.440731
400748053.517,4.610449
400748103.517,3.536981
400748153.517,3.228453
400748203.517,2.989251
400748253.517,3.507408
400748303.517,3.771984
400748353.517,4.323888
400748403.517,3.861528
400748453.517,3.960219
400748503.517,2.581572
400748553.517,3.699654
400748603.517,3.694021
400748653.517,3.770549
400748703.517,3.451337
400748753.517,2.860291
400748803.517,3.691593
400748853.517,2.214733
400748903.517,2.577367
400748953.517,3.232479
400749003.517,2.531603
400749053.517,2.945569
400749103.517,3.216903
400749153.517,3.969239
400749203.517,2.805196
400749253.517,2.580119
400749303.517,3.687989
400749353.517,3.039523
400749403.517,3.598404
400749453.517,3.080719
400749503.517,3.859954
400749553.517,2.103948
400749603.517,3.868909
400749653.517,3.049266
400749703.517,1.557923
400749753.517,2.849164
400749803.517,2.857875
400749853.517,3.029482
400749903.517,2.856158
400749953.517,2.673807
400750003.517,3.414543
400750053.517,2.761721
400750103.517,2.859329
400750153.517,3.79276
400750203.517,2.763726
400750253.517,2.392212
400750303.517,2.215578
400750353.517,3.407869
400750403.517,2.762393
400750453.517,3.509636
400750503.517,3.737137
400750553.517,3.790589
400750603.517,3.360147
400750653.517,2.767315
400750703.517,2.394424
400750753.517,3.962716
400750803.517,4.059311
400750853.517,3.971185
400750903.517,3.501586
400750953.517,3.148079
400751003.517,3.640632
400751053.517,2.581701
400751103.517,4.61375
400751153.517,3.692674
400751203.517,3.500201
400751253.517,3.768888
400751303.517,4.877642
400751353.517,5.24089
400751403.517,3.777627
400751453.517,5.33677
400751503.517,3.875196
400751553.517,3.320508
400751603.517,3.41147
400751653.517,4.419545
400751703.517,4.048416
400751753.517,2.810176
400751803.517,4.239202
400751853.517,3.4145
400751903.517,3.415807
400751953.517,3.498088
400752003.517,3.954937
400752053.517,4.429094
400752103.517,5.148917
400752153.517,5.438729
400752203.517,3.41361
400752253.517,3.96697
400752303.517,3.954867
400752353.517,3.500376
400752403.517,4.462001
