TIME,RATE
428291903.3739,0.4253763
428291953.3739,0.095942
428292003.3739,0.2545137
428292053.3739,0.333325
428292103.3739,0.08292162
428292153.3739,0.3779467
428292203.3739,0.2870689
428292253.3739,0.1461558
428292303.3739,0.2849283
428292353.3739,0.4119557
428292403.3739,0.1602394
428292453.3739,0.08259015
428292503.3739,0.1142337
428292553.3739,0.06414518
428292603.3739,-0.1680286
428292653.3739,0.1917557
428292703.3739,0.06711429
428292753.3739,0.1432465
428292803.3739,0.2211955
428292853.3739,0.1892092
428292903.3739,-0.04645682
428292953.3739,0.1428097
428293003.3739,0.1570601
428293053.3739,0.2215353
428293103.3739,0.3145384
428293153.3739,-0.06107174
428293203.3739,0.01820061
428293253.3739,0.1108551
428293303.3739,0.3143037
428293353.3739,-0.01416015
428293403.3739,0.1107646
428293453.3739,0.1898087
428293503.3739,0.07862567
428293553.3739,0.3792981
428293603.3739,0.2350833
428293653.3739,0.2360289
428293703.3739,0.03189998
428293753.3739,0.4266022
428293803.3739,0.1573623
428293853.3739,0.1574266
428293903.3739,0.0785384
428293953.3739,0.03215963
428294003.3739,-0.01417362
428294053.3739,0.1567698
428294103.3739,0.4250414
428294153.3739,0
428294203.3739,0.3924704
428294253.3739,0
428294303.3739,0.3923771
428294353.3739,0.2678399
428294403.3739,0.314057
428294453.3739,0.2360591
428294503.3739,-0.1400198
428294553.3739,0.07846598
428294603.3739,0.03217358
428294653.3739,-0.06071875
428294703.3739,0.08291563
428294753.3739,0.2673493
428294803.3739,0.07843972
428294853.3739,0
428294903.3739,0.03206621
428294953.3739,0.07839262
428295003.3739,-0.04631532
428295053.3739,-0.04644739
428295103.3739,0.1570203
428295153.3739,-0.04648508
428295203.3739,0.2349756
428295253.3739,0
428295303.3739,0.1103718
428295353.3739,-0.04646541
428295403.3739,0
428295453.3739,0.07842965
428295503.3739,-0.04654826
428295553.3739,0.2355282
428295603.3739,-0.04634336
428295653.3739,0
428295703.3739,0.07849728
428295753.3739,0.3143064
428295803.3739,0.1423349
428295853.3739,0.267521
428295903.3739,0.07849967
428295953.3739,0.07843724
428296003.3739,0.1890567
428296053.3739,0.1886938
428296103.3739,0.1105994
428296153.3739,0.1107479
428296203.3739,0.1112437
428296253.3739,0.2687464
428296303.3739,0.3929947
428296353.3739,-0.01449563
428296403.3739,0.1571392
428296453.3739,0.07837595
428296503.3739,0.3462925
428296553.3739,0.1566661
428296603.3739,0.1890429
428296653.3739,0.2678776
428296703.3739,0.2681118
428296753.3739,-0.09260399
428296803.3739,0.1572903
428296853.3739,-0.0463414
428296903.3739,0.1890827
428296953.3739,0.1570742
428297003.3739,0.5357003
428297053.3739,0.3144294
428297103.3739,0.7382859
428297153.3739,0.3143072
428297203.3739,0.1570081
428297253.3739,0.5488662
428297303.3739,0.1889098
428297353.3739,0.2355282
428297403.3739,0.2351822
428297453.3739,0.1888362
428297503.3739,0.110518
428297553.3739,0.2357054
428297603.3739,0.06450494
428297653.3739,0.07843233
428297703.3739,0.03215832
428297753.3739,0.110277
428297803.3739,0.07871959
428297853.3739,0.1571389
428297903.3739,0.1573367
428297953.3739,0.2203677
428298003.3739,0.1568943
428298053.3739,0.2675864
428298103.3739,0.3129245
428298153.3739,0.4706242
428298203.3739,0.5484651
428298253.3739,0.3926573
428298303.3739,-0.04649396
428298353.3739,0.5490807
428298403.3739,0.4716198
428298453.3739,0.5511949
428298503.3739,0.1566799
428298553.3739,0.2674015
