TIME,RATE
94162186.90132,22.55807
94162286.90132,21.0791
94162386.90132,22.36964
94162486.90132,23.86503
94162586.90132,23.35417
94162686.90132,23.94234
94162786.90132,22.54236
94162886.90132,21.79369
94162986.90132,24.50284
94163086.90132,21.32269
94163186.90132,23.14068
94163286.90132,22.95973
94163386.90132,24.26613
94163486.90132,23.67059
94163586.90132,25.58363
94163686.90132,24.8146
94163786.90132,23.98231
94163886.90132,24.19139
94163986.90132,24.79677
94164086.90132,25.07529
94164186.90132,24.86554
94164286.90132,24.98217
94164386.90132,24.03323
94164486.90132,22.40132
94164586.90132,22.297
94164686.90132,23.85579
94164786.90132,25.5318
94164886.90132,24.36235
94164986.90132,23.69938
94165086.90132,23.64632
94165186.90132,25.43403
94165286.90132,25.41434
94165386.90132,23.93912
94165486.90132,25.06635
94165586.90132,25.3291
94165686.90132,24.60658
94165786.90132,25.70232
94165886.90132,26.26272
94165986.90132,22.8852
94166086.90132,24.81228
94166186.90132,23.6701
94166286.90132,25.27427
94166386.90132,26.0796
94166486.90132,26.38688
94166586.90132,25.79209
94166686.90132,24.04671
94166786.90132,26.20494
94166886.90132,23.45551
94166986.90132,25.65487
94167086.90132,25.12481
94167186.90132,25.19613
94167286.90132,26.37412
94167386.90132,25.46784
94167486.90132,23.86523
94167586.90132,22.70633
94167686.90132,23.63927
94167786.90132,23.07977
94167886.90132,23.77972
94167986.90132,23.23812
94168086.90132,22.40127
94168186.90132,22.87887
94168286.90132,24.35969
94168386.90132,22.29336
94168486.90132,24.21923
94168586.90132,23.29481
94168686.90132,21.75784
94168786.90132,23.65368
94168886.90132,25.15915
94168986.90132,24.68496
94169086.90132,24.29459
94169186.90132,25.25258
94169286.90132,24.18931
94169386.90132,23.10559
94169486.90132,23.02228
94169586.90132,24.5995
94169686.90132,24.3725
94169786.90132,25.92481
94169886.90132,25.4481
94169986.90132,23.28061
94170086.90132,22.45443
94170186.90132,23.59131
94170286.90132,24.85379
94170386.90132,23.00196
94170486.90132,25.4872
94170586.90132,21.53176
94170686.90132,23.28629
94170786.90132,22.54556
94170886.90132,24.67745
94170986.90132,22.06327
94171086.90132,26.03425
94171186.90132,23.99733
94171286.90132,25.0024
94171386.90132,27.24852
94171486.90132,25.90504
94171586.90132,26.17542
94171686.90132,25.73901
94171786.90132,25.58484
94171886.90132,26.70053
94171986.90132,28.16236
94172086.90132,27.75065
94172186.90132,28.26553
94172286.90132,28.42394
94172386.90132,29.85624
94172486.90132,29.11745
94172586.90132,29.88795
94172686.90132,31.17881
94172786.90132,29.0539
94172886.90132,30.3653
94172986.90132,30.91945
94173086.90132,29.21368
94173186.90132,26.38772
94173286.90132,27.76455
94173386.90132,26.66459
94173486.90132,27.19471
94173586.90132,28.97167
94173686.90132,25.38627
94173786.90132,27.4046
94173886.90132,29.46903
94173986.90132,27.82443
94174086.90132,28.59892
94174186.90132,28.71191
94174286.90132,28.61157
94174386.90132,29.03932
94174486.90132,30.27186
94174586.90132,31.1965
94174686.90132,30.95825
94174786.90132,30.71057
94174886.90132,32.16097
94174986.90132,30.77706
94175086.90132,32.23603
94175186.90132,33.22736
94175286.90132,30.77188
94175386.90132,30.73654
94175486.90132,31.09347
94175586.90132,30.16298
94175686.90132,30.67712
94175786.90132,29.50999
94175886.90132,28.03992
94175986.90132,26.00646
94176086.90132,27.45427
94176186.90132,31.40014
94176286.90132,26.42626
94176386.90132,28.57446
94176486.90132,26.91825
94176586.90132,29.14003
94176686.90132,26.78722
94176786.90132,27.25098
94176886.90132,27.47689
94176986.90132,27.58039
94177086.90132,30.36511
94177186.90132,28.56398
94177286.90132,28.03608
94177386.90132,28.00095
94177486.90132,28.18996
94177586.90132,26.94644
94177686.90132,27.06274
94177786.90132,28.10382
94177886.90132,30.19113
94177986.90132,29.58788
94178086.90132,28.94096
94178186.90132,26.33334
94178286.90132,28.61805
94178386.90132,28.71612
94178486.90132,27.67465
94178586.90132,31.70393
94178686.90132,28.48069
94178786.90132,28.90719
94178886.90132,30.69408
94178986.90132,30.7937
94179086.90132,28.00362
94179186.90132,32.45884
94179286.90132,30.59646
94179386.90132,31.10666
94179486.90132,27.38303
94179586.90132,27.75739
94179686.90132,28.07504
94179786.90132,25.98194
94179886.90132,25.50902
94179986.90132,27.92147
94180086.90132,25.56684
94180186.90132,23.23017
94180286.90132,23.5039
94180386.90132,24.55564
94180486.90132,24.15395
94180586.90132,25.40676
94180686.90132,23.53728
94180786.90132,23.32203
94180886.90132,24.52148
94180986.90132,25.29035
94181086.90132,25.65821
94181186.90132,25.72791
94181286.90132,22.88621
94181386.90132,25.49249
94181486.90132,26.03436
94181586.90132,25.01458
94181686.90132,24.92319
94181786.90132,25.55293
94181886.90132,24.69445
94181986.90132,24.59479
94182086.90132,26.09736
