TIME,RATE
252712688.1492,26.6992
252712788.1492,27.12147
252712888.1492,28.93831
252712988.1492,26.07893
252713088.1492,27.49021
252713188.1492,28.1622
252713288.1492,26.59621
252713388.1492,26.93655
252713488.1492,27.65437
252713588.1492,28.20235
252713688.1492,27.68894
252713788.1492,25.35645
252713888.1492,26.55232
252713988.1492,27.28216
252714088.1492,26.62792
252714188.1492,27.71441
252714288.1492,27.69348
252714388.1492,27.3913
252714488.1492,26.11208
252714588.1492,24.54428
252714688.1492,26.70322
252714788.1492,26.22324
252714888.1492,24.99171
252714988.1492,25.77396
252715088.1492,25.49782
252715188.1492,25.66936
252715288.1492,25.244
252715388.1492,25.65917
252715488.1492,25.25912
252715588.1492,24.85405
252715688.1492,24.72935
252715788.1492,24.44323
252715888.1492,24.36654
252715988.1492,25.10951
252716088.1492,24.53
252716188.1492,23.91283
252716288.1492,25.13578
252716388.1492,24.63484
252716488.1492,24.27527
252716588.1492,23.82747
252716688.1492,24.89203
252716788.1492,25.54884
252716888.1492,26.35258
252716988.1492,25.7674
252717088.1492,25.14318
252717188.1492,25.83965
252717288.1492,26.49631
252717388.1492,25.57141
252717488.1492,25.20826
252717588.1492,25.35514
252717688.1492,26.38568
252717788.1492,24.62453
252717888.1492,25.8625
252717988.1492,25.69083
252718088.1492,25.2495
252718188.1492,25.06496
252718288.1492,24.98678
252718388.1492,25.72541
252718488.1492,25.99733
252718588.1492,24.63928
252718688.1492,23.84068
252718788.1492,24.32062
252718888.1492,24.14767
252718988.1492,23.17148
252719088.1492,23.98967
252719188.1492,22.66052
252719288.1492,23.50687
252719388.1492,23.19135
252719488.1492,24.0018
252719588.1492,22.98656
252719688.1492,23.7831
252719788.1492,23.52568
252719888.1492,22.53709
252719988.1492,23.51439
252720088.1492,23.27197
252720188.1492,22.41928
252720288.1492,22.85385
252720388.1492,22.89728
252720488.1492,23.19852
252720588.1492,22.90427
252720688.1492,25.67842
252720788.1492,23.53728
252720888.1492,24.56421
252720988.1492,24.6886
252721088.1492,26.08394
252721188.1492,24.65413
252721288.1492,25.27581
252721388.1492,25.76848
252721488.1492,25.73244
252721588.1492,25.09651
252721688.1492,25.59701
252721788.1492,25.47245
252721888.1492,25.34238
252721988.1492,24.39336
252722088.1492,25.09493
252722188.1492,25.09516
252722288.1492,23.64842
252722388.1492,25.29566
252722488.1492,25.20404
252722588.1492,22.62493
252722688.1492,24.77741
252722788.1492,25.81892
252722888.1492,24.55258
252722988.1492,24.15326
252723088.1492,24.53081
252723188.1492,24.75535
252723288.1492,23.9356
252723388.1492,24.77094
252723488.1492,24.89454
252723588.1492,24.89759
252723688.1492,24.69158
252723788.1492,25.41164
252723888.1492,25.14232
252723988.1492,25.01383
252724088.1492,25.89426
252724188.1492,25.73545
252724288.1492,26.42322
252724388.1492,25.61301
252724488.1492,26.0367
252724588.1492,27.31956
252724688.1492,27.4923
252724788.1492,27.36131
252724888.1492,26.73315
252724988.1492,27.84725
252725088.1492,28.61782
252725188.1492,28.22236
252725288.1492,28.04491
252725388.1492,28.20983
252725488.1492,29.41328
252725588.1492,30.13376
252725688.1492,29.628
252725788.1492,30.26073
252725888.1492,31.08747
252725988.1492,31.54884
252726088.1492,29.56878
252726188.1492,31.16653
252726288.1492,30.93965
252726388.1492,29.58865
252726488.1492,32.68044
252726588.1492,32.0256
252726688.1492,32.25573
252726788.1492,34.14536
252726888.1492,34.27114
252726988.1492,33.31764
252727088.1492,33.80566
252727188.1492,35.12337
252727288.1492,33.58217
252727388.1492,34.76183
252727488.1492,32.42234
252727588.1492,32.6676
252727688.1492,33.80391
252727788.1492,33.07711
252727888.1492,32.35612
252727988.1492,32.59973
252728088.1492,33.1889
252728188.1492,31.90433
252728288.1492,32.70884
252728388.1492,31.39735
252728488.1492,32.29738
252728588.1492,32.7216
252728688.1492,32.45235
252728788.1492,31.35359
252728888.1492,31.16208
