RATE,TIME
16.95,252712688.1492
17.22,252712788.1492
18.36,252712888.1492
16.41,252712988.1492
17.49,252713088.1492
17.91,252713188.1492
16.92,252713288.1492
17.1,252713388.1492
17.59,252713488.1492
17.92,252713588.1492
17.65,252713688.1492
16.1,252713788.1492
16.97,252713888.1492
17.34,252713988.1492
16.94,252714088.1492
17.62,252714188.1492
17.6,252714288.1492
17.44,252714388.1492
16.58,252714488.1492
15.63,252714588.1492
16.95,252714688.1492
16.66,252714788.1492
15.9,252714888.1492
16.38,252714988.1492
16.19,252715088.1492
16.37,252715188.1492
16.08,252715288.1492
16.32,252715388.1492
16.06,252715488.1492
15.82,252715588.1492
15.75,252715688.1492
15.56,252715788.1492
15.5,252715888.1492
15.94,252715988.1492
15.59,252716088.1492
15.23,252716188.1492
16.01,252716288.1492
15.67,252716388.1492
15.45,252716488.1492
15.15,252716588.1492
15.82,252716688.1492
16.24,252716788.1492
16.73,252716888.1492
16.36,252716988.1492
15.98,252717088.1492
16.4,252717188.1492
16.85,252717288.1492
16.25,252717388.1492
16.08,252717488.1492
16.1,252717588.1492
16.76,252717688.1492
15.67,252717788.1492
16.44,252717888.1492
16.32,252717988.1492
16.06,252718088.1492
15.93,252718188.1492
15.87,252718288.1492
16.39,252718388.1492
16.53,252718488.1492
15.64,252718588.1492
15.15,252718688.1492
15.44,252718788.1492
15.35,252718888.1492
14.74,252718988.1492
15.25,252719088.1492
14.45,252719188.1492
14.96,252719288.1492
14.74,252719388.1492
15.25,252719488.1492
14.63,252719588.1492
15.1,252719688.1492
14.99,252719788.1492
14.33,252719888.1492
14.95,252719988.1492
14.8,252720088.1492
14.25,252720188.1492
14.51,252720288.1492
14.56,252720388.1492
14.76,252720488.1492
14.56,252720588.1492
16.31,252720688.1492
14.98,252720788.1492
15.6,252720888.1492
15.68,252720988.1492
16.59,252721088.1492
15.68,252721188.1492
16.07,252721288.1492
16.38,252721388.1492
16.35,252721488.1492
15.95,252721588.1492
16.27,252721688.1492
16.19,252721788.1492
16.09,252721888.1492
15.52,252721988.1492
15.93,252722088.1492
15.95,252722188.1492
15.07,252722288.1492
16.1,252722388.1492
16.02,252722488.1492
14.4,252722588.1492
15.73,252722688.1492
16.43,252722788.1492
15.59,252722888.1492
15.36,252722988.1492
15.58,252723088.1492
15.72,252723188.1492
15.22,252723288.1492
15.77,252723388.1492
15.79,252723488.1492
15.84,252723588.1492
15.69,252723688.1492
16.16,252723788.1492
15.98,252723888.1492
15.87,252723988.1492
16.48,252724088.1492
16.34,252724188.1492
16.78,252724288.1492
16.29,252724388.1492
16.55,252724488.1492
17.41,252724588.1492
17.47,252724688.1492
17.38,252724788.1492
16.99,252724888.1492
17.71,252724988.1492
18.18,252725088.1492
17.94,252725188.1492
17.85,252725288.1492
17.93,252725388.1492
18.67,252725488.1492
19.15,252725588.1492
18.83,252725688.1492
19.25,252725788.1492
19.76,252725888.1492
20.07,252725988.1492
18.81,252726088.1492
19.82,252726188.1492
19.69,252726288.1492
18.83,252726388.1492
20.76,252726488.1492
20.33,252726588.1492
20.53,252726688.1492
21.69,252726788.1492
21.79,252726888.1492
21.17,252726988.1492
21.5,252727088.1492
22.33,252727188.1492
21.34,252727288.1492
22.08,252727388.1492
20.63,252727488.1492
20.8,252727588.1492
21.52,252727688.1492
21,252727788.1492
20.59,252727888.1492
20.75,252727988.1492
21.09,252728088.1492
20.24,252728188.1492
20.8,252728288.1492
19.94,252728388.1492
20.55,252728488.1492
20.8,252728588.1492
20.63,252728688.1492
19.95,252728788.1492
19.83,252728888.1492
19.85,252728988.1492
19.86,252729088.1492
19.58,252729188.1492
19.78,252729288.1492
19.53,252729388.1492
18.85,252729488.1492
19.59,252729588.1492
19.62,252729688.1492
18.17,252729788.1492
18.48,252729888.1492
18.44,252729988.1492
19,252730088.1492
18.27,252730188.1492
18.22,252730288.1492
18.08,252730388.1492
17.68,252730488.1492
17.33,252730588.1492
16.98,252730688.1492
17.13,252730788.1492
17.41,252730888.1492
17.79,252730988.1492
17.74,252731088.1492
17.5,252731188.1492
18.16,252731288.1492
18.24,252731388.1492
17.25,252731488.1492
17.28,252731588.1492
18.45,252731688.1492
17.55,252731788.1492
17.91,252731888.1492
17.97,252731988.1492
17.85,252732088.1492
18.06,252732188.1492
18.08,252732288.1492
17.82,252732388.1492
