TIME,RATE
94162041.90132,17.43718
94162051.90132,20.98283
94162061.90132,25.28112
94162071.90132,26.8987
94162081.90132,24.59607
94162091.90132,24.60736
94162101.90132,24.94552
94162111.90132,25.00046
94162121.90132,18.2997
94162131.90132,19.01262
94162141.90132,23.47637
94162151.90132,24.19352
94162161.90132,24.07955
94162171.90132,26.74663
94162181.90132,22.0818
94162191.90132,25.91335
94162201.90132,21.84955
94162211.90132,18.90397
94162221.90132,16.75614
94162231.90132,21.73877
94162241.90132,25.63003
94162251.90132,26.08805
94162261.90132,24.74878
94162271.90132,16.37785
94162281.90132,14.88411
94162291.90132,19.95416
94162301.90132,28.04509
94162311.90132,16.06446
94162321.90132,20.91651
94162331.90132,17.99285
94162341.90132,25.50902
94162351.90132,17.81842
94162361.90132,27.78514
94162371.90132,22.96417
94162381.90132,18.89684
94162391.90132,21.3819
94162401.90132,21.0482
94162411.90132,18.91539
94162421.90132,24.1608
94162431.90132,25.44078
94162441.90132,29.46383
94162451.90132,20.4367
94162461.90132,20.45935
94162471.90132,25.37792
94162481.90132,21.47022
94162491.90132,24.75667
94162501.90132,25.55797
94162511.90132,23.99511
94162521.90132,23.81375
94162531.90132,23.4724
94162541.90132,21.13313
94162551.90132,20.55047
94162561.90132,27.4725
94162571.90132,23.26879
94162581.90132,26.1302
94162591.90132,22.49107
94162601.90132,24.95169
94162611.90132,29.03523
94162621.90132,21.58331
94162631.90132,17.05684
94162641.90132,23.97961
94162651.90132,18.24942
94162661.90132,24.59064
94162671.90132,22.47938
94162681.90132,23.02842
94162691.90132,28.05119
94162701.90132,27.53169
94162711.90132,25.72567
94162721.90132,21.50616
94162731.90132,24.25701
94162741.90132,22.47163
94162751.90132,22.91127
94162761.90132,24.14777
94162771.90132,25.22362
94162781.90132,18.57649
94162791.90132,19.0924
94162801.90132,30.41639
94162811.90132,21.1647
94162821.90132,22.05826
94162831.90132,19.36535
94162841.90132,24.04739
94162851.90132,23.63745
94162861.90132,23.46543
94162871.90132,22.2012
94162881.90132,21.5323
94162891.90132,21.14175
94162901.90132,22.90799
94162911.90132,23.3136
94162921.90132,16.97088
94162931.90132,18.76931
94162941.90132,27.77029
94162951.90132,26.53284
94162961.90132,18.46088
94162971.90132,23.52233
94162981.90132,23.66411
94162991.90132,24.08844
94163001.90132,29.6042
94163011.90132,22.01994
94163021.90132,25.77257
94163031.90132,23.57877
94163041.90132,20.46175
94163051.90132,19.00926
94163061.90132,24.09274
94163071.90132,16.62928
94163081.90132,24.63008
94163091.90132,15.66879
94163101.90132,19.63434
94163111.90132,23.37319
94163121.90132,26.66561
94163131.90132,23.38413
94163141.90132,20.3289
94163151.90132,23.18886
94163161.90132,21.71124
94163171.90132,21.45977
94163181.90132,30.37402
94163191.90132,23.45706
94163201.90132,27.06791
94163211.90132,18.95224
94163221.90132,21.979
94163231.90132,23.04674
94163241.90132,25.04095
94163251.90132,19.24558
94163261.90132,24.23045
94163271.90132,26.10385
94163281.90132,23.28224
94163291.90132,27.11408
94163301.90132,15.39913
94163311.90132,24.27919
94163321.90132,22.61817
94163331.90132,22.46002
94163341.90132,20.76466
94163351.90132,22.88661
94163361.90132,21.91347
94163371.90132,19.04763
94163381.90132,32.28529
94163391.90132,27.8812
94163401.90132,27.21907
94163411.90132,18.45306
94163421.90132,28.5573
94163431.90132,23.60832
94163441.90132,23.63731
94163451.90132,23.01196
94163461.90132,19.43543
94163471.90132,20.09148
94163481.90132,21.50359
94163491.90132,25.69423
94163501.90132,18.75355
94163511.90132,26.08342
94163521.90132,27.17871
94163531.90132,31.22058
94163541.90132,23.09361
94163551.90132,25.05634
94163561.90132,27.90546
94163571.90132,28.6088
94163581.90132,27.10962
94163591.90132,25.50027
94163601.90132,28.97119
94163611.90132,21.14152
94163621.90132,25.02853
94163631.90132,23.41575
94163641.90132,19.96406
94163651.90132,20.98095
94163661.90132,23.12896
94163671.90132,18.91934
94163681.90132,29.64107
94163691.90132,31.24807
94163701.90132,30.79066
94163711.90132,28.09327
94163721.90132,23.10089
94163731.90132,22.28342
94163741.90132,25.53173
94163751.90132,26.19595
94163761.90132,24.08494
94163771.90132,26.66438
94163781.90132,22.55155
94163791.90132,26.35024
94163801.90132,23.63129
94163811.90132,20.1503
94163821.90132,24.96226
94163831.90132,19.78801
94163841.90132,23.9788
94163851.90132,23.78801
94163861.90132,19.75995
94163871.90132,21.57268
94163881.90132,28.81457
94163891.90132,27.04866
94163901.90132,27.2549
94163911.90132,24.57004
94163921.90132,18.49089
94163931.90132,26.35438
94163941.90132,27.16522
94163951.90132,22.0627
94163961.90132,22.11657
94163971.90132,32.46597
94163981.90132,16.21832
94163991.90132,25.56587
94164001.90132,24.92134
94164011.90132,26.54048
94164021.90132,24.2805
94164031.90132,26.83309
94164041.90132,32.6121
94164051.90132,25.32597
94164061.90132,26.21581
94164071.90132,20.4313
94164081.90132,24.47727
94164091.90132,31.15169
94164101.90132,25.4671
94164111.90132,20.43849
94164121.90132,26.16522
94164131.90132,18.47392
94164141.90132,21.685
94164151.90132,26.65415
94164161.90132,25.68579
94164171.90132,27.05957
94164181.90132,28.75576
94164191.90132,26.58972
94164201.90132,20.07086
94164211.90132,25.69828
94164221.90132,21.74738
94164231.90132,24.67624
94164241.90132,23.40295
94164251.90132,20.01736
94164261.90132,29.08113
94164271.90132,26.12796
94164281.90132,21.44056
94164291.90132,29.24595
94164301.90132,29.31304
94164311.90132,23.08989
94164321.90132,23.13939
94164331.90132,24.98541
94164341.90132,23.92228
94164351.90132,20.02017
94164361.90132,20.68868
94164371.90132,22.84959
94164381.90132,24.47557
94164391.90132,29.73384
94164401.90132,25.06091
94164411.90132,22.52643
94164421.90132,26.50719
94164431.90132,24.55677
94164441.90132,23.43698
94164451.90132,25.41471
94164461.90132,20.05361
94164471.90132,25.14126
94164481.90132,22.01721
94164491.90132,17.91847
94164501.90132,24.15127
94164511.90132,19.72669
94164521.90132,19.50422
94164531.90132,26.54897
94164541.90132,20.52625
94164551.90132,22.71434
94164561.90132,25.6689
94164571.90132,23.57986
94164581.90132,20.50474
94164591.90132,17.72793
94164601.90132,21.61909
94164611.90132,21.76271
94164621.90132,25.29581
94164631.90132,23.65349
94164641.90132,20.24377
94164651.90132,22.01523
94164661.90132,24.35601
94164671.90132,25.68308
