TIME,RATE
94152136.90132 ,19.30366 
94152336.90132 ,19.06005 
94152536.90132 ,18.63522 
94152736.90132 ,21.12140 
94152936.90132 ,19.64573 
94153136.90132 ,21.58484 
94153336.90132 ,19.49024 
94153536.90132 ,22.52980 
94153736.90132 ,23.15969 
94153936.90132 ,22.06930 
94154136.90132 ,21.30533 
94154336.90132 ,20.69579 
94154536.90132 ,19.54212 
94154736.90132 ,20.46565 
94154936.90132 ,17.36161 
94155136.90132 ,18.69866 
94155336.90132 ,17.77672 
94155536.90132 ,19.12500 
94155736.90132 ,20.38065 
94155936.90132 ,19.14400 
94156136.90132 ,19.45520 
94156336.90132 ,21.64661 
94156536.90132 ,20.94360 
94156736.90132 ,20.54207 
94156936.90132 ,22.05893 
94157136.90132 ,22.31300 
94157336.90132 ,21.73473 
94157536.90132 ,20.76169 
94157736.90132 ,20.17436 
94157936.90132 ,20.70801 
94158136.90132 ,19.82738 
94158336.90132 ,21.02580 
94158536.90132 ,19.86390 
94158736.90132 ,20.12536 
94158936.90132 ,21.80306 
94159136.90132 ,21.37981 
94159336.90132 ,20.73891 
94159536.90132 ,19.68542 
94159736.90132 ,21.99432 
94159936.90132 ,23.14438 
94160136.90132 ,22.97468 
94160336.90132 ,23.38362 
94160536.90132 ,22.57651 
94160736.90132 ,22.30420 
94160936.90132 ,22.73906 
94161136.90132 ,22.94562 
94161336.90132 ,20.99882 
94161536.90132 ,22.54735 
94161736.90132 ,24.15385 
94161936.90132 ,23.29769 
94162136.90132 ,22.27418 
94162336.90132 ,21.95329 
94162536.90132 ,23.84157 
94162736.90132 ,23.26795 
94162936.90132 ,22.40657 
94163136.90132 ,22.33746 
94163336.90132 ,23.80798 
94163536.90132 ,24.01130 
94163736.90132 ,24.91539 
94163936.90132 ,24.20960 
94164136.90132 ,24.94447 
94164336.90132 ,24.58265 
94164536.90132 ,22.40057 
94164736.90132 ,24.49136 
94164936.90132 ,24.23602 
94165136.90132 ,24.72361 
94165336.90132 ,24.23105 
94165536.90132 ,25.19745 
94165736.90132 ,25.07428 
94165936.90132 ,25.10215 
94166136.90132 ,24.52254 
94166336.90132 ,25.72912 
94166536.90132 ,25.51840 
94166736.90132 ,25.17547 
94166936.90132 ,24.27115 
94167136.90132 ,25.57109 
94167336.90132 ,26.27840 
94167536.90132 ,23.38760 
94167736.90132 ,23.35988 
94167936.90132 ,23.53950 
94168136.90132 ,22.76855 
94168336.90132 ,23.42860 
94168536.90132 ,23.88583 
94168736.90132 ,22.50678 
94168936.90132 ,24.71454 
94169136.90132 ,24.58362 
94169336.90132 ,23.99485 
94169536.90132 ,23.78528 
94169736.90132 ,24.60886 
94169936.90132 ,24.28663 
94170136.90132 ,23.10147 
94170336.90132 ,23.41491 
94170536.90132 ,23.52583 
94170736.90132 ,23.09809 
94170936.90132 ,23.82938 
94171136.90132 ,25.32583 
94171336.90132 ,26.14842 
94171536.90132 ,25.75644 
94171736.90132 ,25.61035 
94171936.90132 ,27.65936 
94172136.90132 ,27.90484 
94172336.90132 ,29.31910 
94172536.90132 ,29.81027 
94172736.90132 ,29.83252 
94172936.90132 ,30.77186 
94173136.90132 ,28.08550 
94173336.90132 ,27.23988 
94173536.90132 ,27.71325 
94173736.90132 ,26.57302 
94173936.90132 ,29.08150 
94174136.90132 ,28.96512 
94174336.90132 ,29.08510 
94174536.90132 ,30.90045 
94174736.90132 ,30.83398 
94174936.90132 ,31.46802 
94175136.90132 ,32.65167 
94175336.90132 ,30.03353 
94175536.90132 ,30.21778 
94175736.90132 ,30.08954 
94175936.90132 ,27.23108 
94176136.90132 ,29.30859 
94176336.90132 ,27.47424 
94176536.90132 ,27.97518 
94176736.90132 ,27.01933 
94176936.90132 ,27.52810 
94177136.90132 ,28.92270 
94177336.90132 ,28.40521 
94177536.90132 ,27.51633 
94177736.90132 ,27.53303 
94177936.90132 ,29.73392 
94178136.90132 ,27.63124 
94178336.90132 ,28.35606 
94178536.90132 ,30.27182 
94178736.90132 ,28.35987 
94178936.90132 ,31.10351 
94179136.90132 ,30.76357 
94179336.90132 ,30.36132 
94179536.90132 ,27.79164 
94179736.90132 ,26.88195 
94179936.90132 ,26.88356 
94180136.90132 ,24.36723 
94180336.90132 ,24.36269 
94180536.90132 ,24.98462 
94180736.90132 ,23.74067 
94180936.90132 ,25.08733 
94181136.90132 ,25.90962 
94181336.90132 ,24.21213 
94181536.90132 ,25.90861 
94181736.90132 ,25.08508 
94181936.90132 ,24.90233 
94182136.90132 ,27.47844 
94182336.90132 ,26.61815 
94182536.90132 ,25.81933 
94182736.90132 ,27.83054 
94182936.90132 ,27.92163 
94183136.90132 ,25.70067 
94183336.90132 ,26.74271 
94183536.90132 ,27.50092 
94183736.90132 ,27.74850 
