TIME,RATE,SOURCE,BACK,FRACEXP,S_B,SBF,F2,SF,SF2
361093156.1827,2.321117,0.945,0.05,0.8643591,0.895,2.12426856685716,0.915192369388168,2.24294278846929,2.45078834078212
361093356.1827,2.389995,0.985,0.065,0.8643669,0.92,2.18362270985393,0.913651580799932,2.33790040131101,2.5588533423913
361093556.1827,2.259164,0.955,0.085,0.864255,0.87,2.06471650787476,0.91392944818294,2.26644168393149,2.47988691954023
361093756.1827,2.21306,0.91,0.05,0.8673761,0.86,2.04736420103646,0.92512819401031,2.1663970034223,2.34172627906977
361093956.1827,2.082126,0.9,0.1,0.8660897,0.8,1.90207643257374,0.913526094277553,2.13983598664546,2.34239175
361094156.1827,2.036725,0.795,0.03,0.8638723,0.765,1.81483191542008,0.891053979020282,1.88600179445617,2.11659656862745
361094356.1827,2.14792,0.91,0.09,0.863731,0.82,1.94503517409824,0.905543583605644,2.15851464442609,2.38366731707317
361094556.1827,2.297676,0.945,0.055,0.8645865,0.89,2.11288155933732,0.919573325106465,2.24345289165592,2.43966721348315
361094756.1827,2.369133,0.96,0.06,0.8581214,0.9,2.12285288463899,0.896046310882076,2.26437641028158,2.5270752
361094956.1827,2.246416,0.91,0.055,0.8650154,0.855,2.03066147545636,0.903956112962318,2.16128882183074,2.39092229239766
361095156.1827,2.316706,0.98,0.09,0.8579531,0.89,2.0989123536887,0.90598995025208,2.31116191754486,2.55097964044944
361095356.1827,2.362437,0.945,0.04,0.8576601,0.905,2.13366202642899,0.903161449989562,2.22796753035955,2.46685410497238
361095556.1827,2.109766,0.895,0.065,0.8695182,0.83,1.98018172700115,0.938578840971532,2.13525619959762,2.27498863855422
361095756.1827,2.604982,1.1,0.075,0.8700849,1.025,2.44679134862988,0.939273802517593,2.62582486194427,2.79559043902439
361095956.1827,2.647473,1.075,0.05,0.8612081,1.025,2.42516778719162,0.91603116903992,2.54346865485951,2.77661802439024
361096156.1827,2.465851,0.98,0.025,0.8552019,0.955,2.24601595829623,0.910848205465875,2.304812187571,2.53040207329843
361096356.1827,2.59165,1.04,0.05,0.8628564,0.99,2.34622127087939,0.905300202912967,2.46471729466118,2.72254141414141
361096556.1827,2.157466,0.915,0.075,0.8681271,0.84,2.00125345721526,0.927594435886945,2.17993680160948,2.35009689285714
361096756.1827,2.616267,1.055,0.045,0.8585275,1.01,2.38328033529921,0.910946908438325,2.48946609281254,2.73283335148515
361096956.1827,2.405252,1.01,0.08,0.8657878,0.93,2.21049640325639,0.919029026171222,2.40064663149349,2.61215539784946
361097156.1827,2.695372,1.12,0.07,0.8681929,1.05,2.5017314300315,0.928158128091965,2.66851352536693,2.87506346666667
361097356.1827,2.750173,1.105,0.04,0.8562571,1.065,2.50736374190817,0.911711278493453,2.60153702798923,2.85346588262911
361097556.1827,2.807299,1.12,0.025,0.8640394,1.095,2.59813469685376,0.925492687759215,2.65745284061754,2.87139258447489
361097756.1827,2.946192,1.195,0.045,0.859229,1.15,2.71554030886181,0.921711928096273,2.82180058181728,3.06147777391304
361097956.1827,3.151555,1.275,0.05,0.8656306,1.225,2.91121769048712,0.923740087190964,3.03004290234374,3.28018989795918
361098156.1827,2.747351,1.095,0.035,0.8640846,1.06,2.51520298018987,0.915501142806242,2.59825213519614,2.83806541981132
361098356.1827,3.239857,1.305,0.05,0.8559902,1.255,2.95389835010282,0.911737261892368,3.07158354333401,3.36893496812749
361098556.1827,2.882346,1.15,0.03,0.8647972,1.12,2.65946742160849,0.922674592713189,2.73070315611586,2.95955169642857
361098756.1827,3.04852,1.24,0.065,0.8646293,1.175,2.78959785540326,0.915066279835219,2.94391603463833,3.21716153191489
361098956.1827,2.978888,1.215,0.06,0.8584706,1.155,2.72527937003423,0.914864664275472,2.86685232432173,3.13363542857143
361099156.1827,2.506531,1.04,0.065,0.8637378,0.975,2.31270998825955,0.922673602783906,2.46689065414352,2.67363306666667
361099356.1827,3.018125,1.2,0.03,0.8585778,1.17,2.76096856857292,0.914795963909022,2.83176263443376,3.09551282051282
361099556.1827,2.582451,1.05,0.04,0.8646773,1.01,2.39798219311245,0.928568322540272,2.49295178491888,2.68472628712871
361099756.1827,2.801084,1.105,0.035,0.8594116,1.07,2.52709456228048,0.902184497958817,2.60975653394386,2.89270824299065
361099956.1827,2.652783,1.08,0.045,0.8631141,1.035,2.4534998777409,0.924877714362954,2.56017378546876,2.76812139130435
361100156.1827,2.872473,1.15,0.055,0.8629856,1.095,2.59539822461067,0.903541382150737,2.72576069251349,3.01675246575342
361100356.1827,2.66445,1.085,0.045,0.8631028,1.04,2.46532467582887,0.925265880699158,2.57199737814839,2.77973870192308
361100556.1827,3.022234,1.235,0.06,0.8605527,1.175,2.77824892901957,0.919269960241189,2.92011695943759,3.17656084255319
361100756.1827,3.068283,1.235,0.03,0.8656926,1.205,2.86386515988015,0.933377123257584,2.93516470742903,3.14467178838174
361100956.1827,2.73961,1.1,0.045,0.8639183,1.055,2.50292254455787,0.913605419953159,2.6096822739466,2.8564654028436
361101156.1827,3.066586,1.22,0.03,0.8558694,1.19,2.80056926969982,0.913253132212769,2.87117185633091,3.1438948907563
361101356.1827,2.94519,1.175,0.035,0.865301,1.14,2.70832202026597,0.919574635343042,2.79147225773028,3.0356125
361101556.1827,3.481179,1.4,0.04,0.8615302,1.36,3.21882021560208,0.924635077829114,3.3134913984139,3.58356661764706
361101756.1827,3.027047,1.22,0.03,0.8669437,1.19,2.83175598073241,0.935484642535252,2.90314478696936,3.1033591092437
361101956.1827,3.198513,1.29,0.035,0.8718837,1.255,3.00122120023448,0.938317649556054,3.08492059625696,3.28771455776892
361102156.1827,2.92262,1.205,0.065,0.8644304,1.14,2.70596518119604,0.925869658455783,2.86025266959757,3.08926061403509
361102356.1827,2.599562,1.06,0.055,0.8608208,1.005,2.37692667812798,0.91435660243071,2.50700724260264,2.74182658706468
361102556.1827,3.00315,1.21,0.05,0.8576816,1.16,2.73491841410013,0.910683253950062,2.852802828501,3.13259612068966
361102756.1827,2.629513,1.065,0.05,0.8590755,1.015,2.39639161564879,0.911344273882195,2.51444046371031,2.75904566009852
361102956.1827,2.945716,1.185,0.05,0.8560404,1.135,2.67158799669921,0.90694011123245,2.78927909787538,3.0754832246696
361103156.1827,2.32504,0.96,0.065,0.8562058,0.895,2.10701918320702,0.906229218941188,2.26004292276954,2.49389765363129
361103356.1827,2.35254,1.01,0.1,0.8682795,0.91,2.16835501077394,0.921708030798177,2.40663578118866,2.61106087912088
361103556.1827,2.529824,1.075,0.09,0.8635247,0.985,2.33593225049766,0.923357613216438,2.54936768455329,2.76097543147208
361103756.1827,2.328213,0.995,0.09,0.8617382,0.905,2.14238108004143,0.920182594995146,2.35543555208975,2.55974799447514
361103956.1827,2.379741,0.96,0.04,0.8561507,0.92,2.16575513125872,0.910080185725557,2.25991839783519,2.483208
361104156.1827,2.362793,0.97,0.065,0.8651065,0.905,2.14960942902321,0.909774757680087,2.30400126646686,2.53249636464088
361104356.1827,2.346534,0.95,0.05,0.8645055,0.9,2.13644874222014,0.910469970697266,2.25514033901015,2.476897
361104556.1827,2.523557,1.025,0.045,0.8597853,0.98,2.31540031001585,0.917514567737463,2.42171971200637,2.63943461734694
361104756.1827,2.676157,1.08,0.04,0.8628157,1.04,2.46461698270865,0.920953809028636,2.55940994358206,2.77908611538462
361104956.1827,2.758257,1.115,0.04,0.85715,1.075,2.53316791955438,0.918394449666721,2.62742533051455,2.86088981860465
361105156.1827,2.643684,1.06,0.025,0.8595077,1.035,2.44466751187684,0.92472001641529,2.50371745177725,2.70754110144928
361105356.1827,2.59914,1.06,0.045,0.8598905,1.015,2.39834547090341,0.922745781644472,2.50467605828337,2.71437280788177
361105556.1827,2.305065,0.935,0.065,0.8542217,0.87,2.0441041655585,0.886788079971065,2.19682459172092,2.4772825
361105756.1827,2.284696,0.945,0.055,0.864877,0.89,2.11349544059225,0.925066372327979,2.24410470939289,2.42588507865169
361105956.1827,2.861529,1.17,0.05,0.8660085,1.12,2.66269078633301,0.930513297727546,2.78156091072287,2.98927583035714
361106156.1827,2.749317,1.13,0.06,0.8623957,1.07,2.53464692806676,0.921918763120716,2.67677666235087,2.90348430841121
361106356.1827,2.787213,1.11,0.025,0.8622219,1.085,2.56973270328047,0.92197212889021,2.62894313423163,2.85143449769585
361106556.1827,2.822756,1.145,0.05,0.85469,1.095,2.57395689640022,0.911859507658552,2.69148917477466,2.95164896803653
361106756.1827,2.732333,1.11,0.05,0.8587615,1.06,2.5018498746944,0.915646033881814,2.61986166123659,2.86121663207547
361106956.1827,2.844875,1.16,0.04,0.8655816,1.12,2.66155432623099,0.935561079566234,2.7566098378821,2.94647767857143
361107156.1827,2.991162,1.175,0.03,0.8554425,1.145,2.69351528260614,0.900491274831034,2.76408773542552,3.06953305676856
361107356.1827,2.894428,1.19,0.065,0.8576968,1.125,2.65243964079565,0.916395101483144,2.80569170893051,3.06166161777778
361107556.1827,3.202075,1.275,0.04,0.8614674,1.235,2.92278921238896,0.912779748253541,3.01745445003718,3.30578593117409
361107756.1827,2.750169,1.105,0.04,0.8636707,1.065,2.5260214085295,0.918496793662318,2.62089545204235,2.85346173239437
361107956.1827,3.215216,1.31,0.04,0.8679575,1.27,3.02519151575005,0.940898376889779,3.12047313829336,3.31648264566929
361108156.1827,3.391965,1.405,0.075,0.8650164,1.33,3.1588098984071,0.931262527298217,3.33693827613682,3.58324122180451
361108356.1827,3.457933,1.38,0.04,0.8609899,1.34,3.16977153388673,0.916666555970498,3.2643915796744,3.56115488059702
361108556.1827,3.09182,1.26,0.05,0.8650074,1.21,2.87377862991548,0.929477987048238,2.99252981296984,3.21958115702479
361108756.1827,2.829777,1.145,0.05,0.8636485,1.095,2.59711928447604,0.917782314463661,2.71570920614161,2.95899056164384
361108956.1827,3.128548,1.27,0.045,0.8683282,1.225,2.91908159339239,0.933046765909421,3.02631316212925,3.24347425306122
361109156.1827,2.762805,1.11,0.045,0.8607613,1.065,2.51868288237401,0.911639758279721,2.62510610275601,2.87954323943662
361109356.1827,2.410352,1.02,0.09,0.8649048,0.93,2.20854539642859,0.916275048801415,2.42227559608297,2.64361187096774
361109556.1827,2.57739,1.055,0.06,0.856566,0.995,2.34328421997622,0.909169438841704,2.48458779103006,2.73281050251256
361109756.1827,1.864978,0.77,0.075,0.8524451,0.695,1.63003529275737,0.874023872001369,1.80593838190385,2.06623461870504
361109956.1827,1.818464,0.75,0.055,0.8579129,0.695,1.63897241065177,0.901294944883026,1.76867526329327,1.96237122302158
361110156.1827,2.561225,1.04,0.05,0.860411,0.99,2.34049083084827,0.913816955108696,2.45869743846687,2.6905797979798
361110356.1827,2.268836,0.935,0.06,0.8665456,0.875,2.08134476694129,0.917362368607204,2.22406555096013,2.42441332571429
361110556.1827,2.267433,0.95,0.075,0.8690056,0.875,2.08647117796828,0.920190884567828,2.26531156465128,2.4617844
361110756.1827,2.650227,1.075,0.04,0.8674623,1.035,2.46419141353199,0.929803904922859,2.55942586429652,2.75265123188406
361110956.1827,2.360578,0.965,0.06,0.8607492,0.905,2.14026331256191,0.906669177024403,2.28215922278701,2.51708040883978
361111156.1827,2.114823,0.845,0.03,0.8578774,0.815,1.92189222439368,0.908772140455101,1.99263672345111,2.19266924539877
361111356.1827,2.128432,0.88,0.04,0.8742913,0.84,2.01362768319582,0.946061552915865,2.10951471572896,2.2297859047619
361111556.1827,2.224106,0.91,0.04,0.865806,0.87,2.06792136790496,0.929776444065599,2.16299821240634,2.32636374712644
361111756.1827,2.425204,1.005,0.065,0.8608721,0.94,2.22330915476481,0.916751396898903,2.37704861759429,2.59290427659574
361111956.1827,2.21392,0.905,0.05,0.8664618,0.855,2.03360074938493,0.918552047673327,2.1525247698168,2.34338900584795
361112156.1827,2.445038,1,0.045,0.8607287,0.955,2.25846360543769,0.9236926401298,2.36488335647925,2.56024921465969
361112356.1827,2.477058,1.04,0.08,0.8580685,0.96,2.26425662793775,0.914091082218403,2.4529446802659,2.6834795
361112556.1827,2.357004,0.97,0.07,0.8546425,0.9,2.1154805230285,0.897529458171688,2.28001789704183,2.54032653333333
361112756.1827,2.246813,0.88,0.03,0.8564841,0.85,2.00163664917458,0.890878167953712,2.07228264855722,2.32611228235294
361112956.1827,2.237159,0.925,0.045,0.8716782,0.88,2.10400953874685,0.940482790336695,2.21160093561459,2.35155917613636
361113156.1827,2.257336,0.91,0.04,0.8633125,0.87,2.06277142932834,0.913807882091253,2.15761149504459,2.36112156321839
361113356.1827,2.46089,0.99,0.03,0.8661488,0.96,2.28262661833532,0.927561418159822,2.3539587001583,2.5377928125
361113556.1827,2.174174,0.92,0.1,0.8592553,0.82,1.93634923250357,0.890613737678571,2.17248938280888,2.43931717073171
361113756.1827,2.179973,0.91,0.06,0.8618801,0.85,2.01246667366162,0.923161283952426,2.15452314474362,2.33385344705882
361113956.1827,2.217541,0.915,0.05,0.8701622,0.865,2.06501280621309,0.931217418849568,2.18437770830633,2.34572256069364
361114156.1827,2.090922,0.86,0.035,0.8682462,0.825,1.96575089532671,0.940135928230085,2.04914638785572,2.17962778181818
361114356.1827,2.126563,0.865,0.045,0.8608376,0.82,1.93941554316609,0.911995338565604,2.04584688394959,2.24326462804878
361114556.1827,2.223298,0.91,0.035,0.8704002,0.875,2.08938300061507,0.939767408874147,2.17295832063968,2.31222992
361114756.1827,1.977929,0.775,0.025,0.8498679,0.75,1.75450335374239,0.887040613562159,1.81298679886713,2.04385996666667
361114956.1827,2.096391,0.825,0.06,0.8133324,0.765,1.72538972904194,0.823028590106494,1.86071441367268,2.26081382352941
361115156.1827,2.112173,0.865,0.03,0.8693777,0.835,1.99183066071712,0.943024392754344,2.06339343894648,2.18805945508982
361115356.1827,2.236813,0.93,0.06,0.8643852,0.87,2.06498535146543,0.923181934057709,2.20739813432511,2.39107596551724
361115556.1827,2.12028,0.86,0.04,0.86252,0.82,1.94268116214432,0.916238026177827,2.03744609688307,2.22370829268293
361115756.1827,2.777214,1.105,0.025,0.8575932,1.08,2.54607826779134,0.916774244905627,2.60501526473095,2.84150136111111
361115956.1827,2.397195,0.955,0.04,0.8586,0.915,2.15926694394982,0.900747308395778,2.25366112729189,2.50199040983607
361116156.1827,2.201859,0.905,0.065,0.8541579,0.84,1.97349190222207,0.896284413407973,2.12620258513211,2.37224094642857
361116356.1827,2.458175,1,0.045,0.8605078,0.955,2.2579647659261,0.918553303131834,2.36436101144094,2.57400523560209
361116556.1827,2.528314,1.05,0.06,0.8641159,0.99,2.34917819830422,0.929148119380828,2.49155263456508,2.68154515151515
361116756.1827,2.526791,1.01,0.03,0.8651488,0.98,2.3278523229135,0.921268250090132,2.39911310830881,2.60414174489796
361116956.1827,2.471867,1.03,0.08,0.8594826,0.95,2.24384139508961,0.907751669118773,2.43279645993926,2.68002422105263
361117156.1827,2.48086,1.015,0.055,0.8711952,0.96,2.29417477911411,0.924749796084467,2.42561187583419,2.62299260416667
361117356.1827,2.219017,0.9,0.065,0.8574253,0.835,1.96816521510026,0.886953644384092,2.12137568094638,2.3917548502994
361117556.1827,2.389405,0.975,0.045,0.8665019,0.93,2.21207548248108,0.925785073054206,2.31911139292372,2.50502137096774
361117756.1827,2.168344,0.89,0.055,0.8703398,0.835,1.993747923147,0.919479530529749,2.1250726366477,2.31116905389222
361117956.1827,2.358433,0.965,0.05,0.8642536,0.915,2.17150914920162,0.920742352740835,2.29017085134379,2.48730912021858
361118156.1827,2.433889,0.96,0.025,0.8573329,0.935,2.20366999557921,0.905411050207801,2.26259165321502,2.4989662459893
