TIME,RATE
252712663.1492,26.41895
252712713.1492,26.9794
252712763.1492,27.10947
252712813.1492,27.13347
252712863.1492,28.81168
252712913.1492,29.06481
252712963.1492,25.09343
252713013.1492,27.04435
252713063.1492,27.39283
252713113.1492,27.58763
252713163.1492,27.97298
252713213.1492,28.35129
252713263.1492,26.85382
252713313.1492,26.33843
252713363.1492,26.58995
252713413.1492,27.28315
252713463.1492,27.60678
252713513.1492,27.70196
252713563.1492,29.03988
252713613.1492,27.36522
252713663.1492,27.19306
252713713.1492,28.1852
252713763.1492,25.27541
252713813.1492,25.43741
252713863.1492,27.73651
252713913.1492,25.36772
252713963.1492,28.04568
252714013.1492,26.51841
252714063.1492,27.1649
252714113.1492,26.09099
252714163.1492,28.18667
252714213.1492,27.24202
252714263.1492,27.66089
252714313.1492,27.72605
252714363.1492,28.37508
252714413.1492,26.40817
252714463.1492,26.51816
252714513.1492,25.70598
252714563.1492,24.76655
252714613.1492,24.32187
252714663.1492,26.52575
252714713.1492,26.88054
252714763.1492,27.03297
252714813.1492,25.41393
252714863.1492,23.75324
252714913.1492,26.22956
252714963.1492,25.5666
252715013.1492,25.98145
252715063.1492,25.15008
252715113.1492,25.84563
252715163.1492,25.84248
252715213.1492,25.49628
252715263.1492,25.55946
252715313.1492,24.92862
252715363.1492,24.75436
252715413.1492,26.56429
252715463.1492,24.40895
252715513.1492,26.10919
252715563.1492,24.88285
252715613.1492,24.82526
252715663.1492,24.95895
252715713.1492,24.49975
252715763.1492,24.92711
252715813.1492,23.95922
252715863.1492,23.63428
252715913.1492,25.09884
252715963.1492,25.2061
252716013.1492,25.01296
252716063.1492,25.47503
252716113.1492,23.58501
252716163.1492,22.49838
252716213.1492,25.32866
252716263.1492,24.83569
252716313.1492,25.4358
252716363.1492,24.44524
252716413.1492,24.82465
252716463.1492,23.64696
252716513.1492,24.90354
252716563.1492,24.9948
252716613.1492,22.66037
252716663.1492,25.37238
252716713.1492,24.41142
252716763.1492,25.25505
252716813.1492,25.84253
252716863.1492,26.29885
252716913.1492,26.40636
252716963.1492,25.87983
252717013.1492,25.65497
252717063.1492,24.65151
252717113.1492,25.63489
252717163.1492,25.19502
252717213.1492,26.48427
252717263.1492,26.92147
252717313.1492,26.07124
252717363.1492,25.36393
252717413.1492,25.77872
252717463.1492,25.94346
252717513.1492,24.47261
252717563.1492,24.71183
252717613.1492,25.99822
252717663.1492,26.20389
252717713.1492,26.56732
252717763.1492,24.36034
252717813.1492,24.88894
252717863.1492,25.50817
252717913.1492,26.21657
252717963.1492,25.24542
252718013.1492,26.1365
252718063.1492,23.9103
252718113.1492,26.58718
252718163.1492,25.28754
252718213.1492,24.84244
252718263.1492,25.92915
252718313.1492,24.04422
252718363.1492,26.27294
252718413.1492,25.17829
252718463.1492,27.11612
252718513.1492,24.87847
252718563.1492,25.22414
252718613.1492,24.05457
252718663.1492,23.88533
252718713.1492,23.79602
252718763.1492,23.76376
252718813.1492,24.87765
252718863.1492,23.48351
252718913.1492,24.81121
252718963.1492,22.8642
252719013.1492,23.47854
252719063.1492,24.2118
252719113.1492,23.7676
252719163.1492,22.38281
252719213.1492,22.93812
252719263.1492,23.35034
252719313.1492,23.66339
252719363.1492,24.4588
252719413.1492,21.92304
252719463.1492,22.94546
252719513.1492,25.0594
252719563.1492,23.80837
252719613.1492,22.16474
252719663.1492,24.02391
252719713.1492,23.54241
252719763.1492,23.12566
252719813.1492,23.92612
252719863.1492,23.10843
252719913.1492,21.96602
252719963.1492,23.64606
252720013.1492,23.38277
252720063.1492,23.20208
