TIME,RATE
361265397.6971,1.00223
361265447.6971,0.5978323
361265497.6971,0.8900839
361265547.6971,0.7646824
361265597.6971,0.746972
361265647.6971,0.6070709
361265697.6971,0.8503878
361265747.6971,0.4350196
361265797.6971,1.507695
361265847.6971,1.077975
361265897.6971,0.959608
361265947.6971,1.237813
361265997.6971,0.5449669
361266047.6971,1.212502
361266097.6971,1.164557
361266147.6971,0.8588377
361266197.6971,0.6427792
361266247.6971,1.143369
361266297.6971,1.048216
361266347.6971,0.5581553
361266397.6971,0.3450293
361266447.6971,0.8427283
361266497.6971,1.048124
361266547.6971,0.5297673
361266597.6971,0.7988135
361266647.6971,1.109542
361266697.6971,0.5939709
361266747.6971,0.4680499
361266797.6971,0.7594393
361266847.6971,0.7770609
361266897.6971,0.5940363
361266947.6971,0.5488313
361266997.6971,0.501109
361267047.6971,0.6364833
361267097.6971,0.3420343
361267147.6971,0.3399474
361267197.6971,1.260073
361267247.6971,0.8401071
361267297.6971,0.9796403
361267347.6971,0.6151914
361267397.6971,1.360594
361267447.6971,0.9646363
361267497.6971,1.33466
361267547.6971,0.9263496
361267597.6971,0.9653183
361267647.6971,1.021655
361267697.6971,0.619726
361267747.6971,0.7959126
361267797.6971,0.9629032
361267847.6971,0.8053533
361267897.6971,0.8359808
361267947.6971,0.4965944
361267997.6971,0.3380148
361268047.6971,0.8862952
361268097.6971,0.9623981
361268147.6971,0.7387123
361268197.6971,0.7294969
361268247.6971,0.4059754
361268297.6971,0.800745
361268347.6971,0.4886627
361268397.6971,0.651483
361268447.6971,1.01604
361268497.6971,0.4622565
361268547.6971,1.046127
361268597.6971,0.99735
361268647.6971,1.0098
361268697.6971,1.07496
361268747.6971,0.366926
361268797.6971,0.5773615
361268847.6971,0.4423548
361268897.6971,0.5772496
361268947.6971,0.8978998
361268997.6971,0.7795259
361269047.6971,0.9684651
361269097.6971,0.7036605
361269147.6971,0.9635785
361269197.6971,0.8502016
361269247.6971,1.136876
361269297.6971,0.6652988
361269347.6971,1.152513
361269397.6971,0.6840667
361269447.6971,0.5751204
361269497.6971,0.7604759
361269547.6971,1.0481
361269597.6971,1.009002
361269647.6971,0.8618667
361269697.6971,0.9091696
361269747.6971,1.547648
361269797.6971,1.429499
361269847.6971,1.021956
361269897.6971,1.016749
361269947.6971,0.5985409
361269997.6971,1.176069
361270047.6971,0.7664973
361270097.6971,0.8293669
361270147.6971,0.7198426
361270197.6971,0.7973642
361270247.6971,1.199012
361270297.6971,1.142231
361270347.6971,0.8268313
361270397.6971,0.8477024
361270447.6971,1.294164
361270497.6971,1.046299
361270547.6971,0.9972371
361270597.6971,0.9875383
361270647.6971,1.438676
361270697.6971,1.324389
361270747.6971,0.7077572
361270797.6971,0.8703969
361270847.6971,0.937753
361270897.6971,1.170942
361270947.6971,1.031438
361270997.6971,1.15703
361271047.6971,1.182508
361271097.6971,0.6376753
361271147.6971,0.6090665
361271197.6971,0.9859405
361271247.6971,1.061223
361271297.6971,0.9400397
361271347.6971,1.044076
361271397.6971,0.8955027
361271447.6971,0.4894788
361271497.6971,1.358559
361271547.6971,0.8318976
361271597.6971,0.9610738
361271647.6971,1.18178
361271697.6971,1.388456
361271747.6971,0.7797439
361271797.6971,0.7056934
361271847.6971,0.856357
361271897.6971,0.8174783
361271947.6971,1.373268
361271997.6971,0.6132853
361272047.6971,0.8266552
361272097.6971,0.3957382
361272147.6971,0.7901851
361272197.6971,0.6537243
361272247.6971,0.9018276
361272297.6971,0.5550934
361272347.6971,0.526705
361272397.6971,0.714618
361272447.6971,0.6656574
361272497.6971,1.347328
361272547.6971,0.5867064
361272597.6971,0.7878368
361272647.6971,1.085164
361272697.6971,0.7656835
361272747.6971,0.4265671
361272797.6971,0.764841
361272847.6971,0.8543908
361272897.6971,0.9272857
361272947.6971,0.8421803
361272997.6971,1.01105
361273047.6971,1.15419
361273097.6971,1.348742
361273147.6971,1.003873
361273197.6971,1.038527
361273247.6971,1.840613
361273297.6971,1.097019
361273347.6971,0.9564902
361273397.6971,0.8451456
361273447.6971,1.040502
361273497.6971,0.4212849
361273547.6971,0.829411
361273597.6971,1.008715
361273647.6971,0.953881
361273697.6971,0.9871894
361273747.6971,0.7813376
361273797.6971,0.3979563
361273847.6971,1.216849
361273897.6971,0.8198468
361273947.6971,0.7350992
361273997.6971,0.8113198
361274047.6971,0.6632999
361274097.6971,0.6876088
361274147.6971,1.118615
361274197.6971,0.9193008
361274247.6971,0.6721105
361274297.6971,0.6932243
361274347.6971,0.546724
361274397.6971,0.9798863
361274447.6971,0.5755575
361274497.6971,0.927519
361274547.6971,1.161297
361274597.6971,0.9137455
361274647.6971,0.9688787
361274697.6971,0.7740265
361274747.6971,0.6254501
361274797.6971,0.6686308
361274847.6971,0.4550231
361274897.6971,0.6489136
361274947.6971,1.293115
361274997.6971,0.6748174
361275047.6971,1.400126
361275097.6971,0.6572274
