TIME,RATE
647662378.6,0.8172276
647662428.6,0.8531208
647662478.6,0.9074841
647662528.6,1.083381
647662578.6,0.824203
647662628.6,0.9245723
647662678.6,0.7277589
647662728.6,0.6113184
647662778.6,0.6986333
647662828.6,0.7975237
647662878.6,0.9668814
647662928.6,0.9681345
647662978.6,0.672832
647663028.6,0.8951527
647663078.6,1.083127
647663128.6,1.00056
647663178.6,0.9228033
647663228.6,1.08962
647663278.6,0.9002489
647663328.6,0.6732563
647663378.6,0.8457401
647663428.6,0.856473
647663478.6,0.874411
647663528.6,0.8629975
647663578.6,0.8834159
647663628.6,1.075279
647663678.6,1.042519
647663728.6,0.8896319
647663778.6,0.9178852
647663828.6,0.6713079
647663878.6,1.050288
647663928.6,0.6012861
647663978.6,0.8560144
647664028.6,0.9592718
647664078.6,1.01089
647664128.6,0.96003
647664178.6,0.9388766
647664228.6,0.8498925
647664278.6,0.7924337
647664328.6,1.127892
647664378.6,0.918628
647664428.6,0.8485469
647664478.6,0.9011162
647664528.6,0.7279021
647664578.6,0.837563
647664628.6,1.013077
647664678.6,0.8226454
647664728.6,0.7451706
647664778.6,1.019606
647664828.6,0.9180593
647664878.6,0.6434742
647664928.6,0.9103768
647664978.6,1.096315
647665028.6,0.9283515
647665078.6,0.8156694
647665128.6,0.846042
647665178.6,0.7647309
647665228.6,0.9710718
647665278.6,0.9615589
647665328.6,0.961714
647665378.6,0.5608342
647665428.6,0.7875828
647665478.6,0.5034547
647665528.6,0.9435023
647665578.6,0.8323582
647665628.6,0.8447171
647665678.6,0.9417199
647665728.6,0.7614809
647665778.6,0.8808634
647665828.6,0.8699878
647665878.6,0.4587169
647665928.6,1.236339
647665978.6,0.6941833
647666028.6,0.9157706
647666078.6,0.8668746
647666128.6,0.4591462
647666178.6,0.7537632
647666228.6,0.9142466
647666278.6,0.8304108
647666328.6,0.8833074
647666378.6,0.7669132
647666428.6,0.9372575
647666478.6,1.046848
647666528.6,1.081011
647666578.6,0.8034932
647666628.6,0.9300779
647666678.6,1.089
647666728.6,0.9328193
647666778.6,1.003335
647666828.6,0.7463425
647666878.6,0.8538218
647666928.6,0.659156
647666978.6,1.004763
647667028.6,0.9832634
647667078.6,0.7887889
647667128.6,0.9572694
647667178.6,0.7665631
647667228.6,0.662131
647667278.6,0.70768
647667328.6,0.9407406
647667378.6,1.054718
647667428.6,0.7856526
647667478.6,0.7870215
647667528.6,0.8790212
647667578.6,0.927384
647667628.6,1.069325
647667678.6,1.014769
647667728.6,0.6546407
647667778.6,0.8615786
647667828.6,0.8731229
647667878.6,0.8623634
