TIME,RATE
233781646.4955,2.741737
233781696.4955,2.445713
233781746.4955,2.484162
233781796.4955,2.631813
233781846.4955,2.96523
233781896.4955,2.520996
233781946.4955,2.372419
233781996.4955,2.742618
233782046.4955,2.373796
233782096.4955,2.446759
233782146.4955,3.113483
233782196.4955,2.482759
233782246.4955,2.037871
233782296.4955,2.855998
233782346.4955,2.520768
233782396.4955,2.781325
233782446.4955,2.40845
233782496.4955,2.262673
233782546.4955,2.556688
233782596.4955,2.742221
233782646.4955,2.150692
233782696.4955,3.298279
233782746.4955,2.335032
233782796.4955,2.816726
233782846.4955,2.445512
233782896.4955,3.446422
233782946.4955,3.002646
233782996.4955,3.03999
233783046.4955,2.927555
233783096.4955,3.042466
233783146.4955,3.002671
233783196.4955,3.076853
233783246.4955,2.966454
233783296.4955,2.29911
233783346.4955,2.555747
233783396.4955,2.446513
233783446.4955,2.966605
233783496.4955,2.186358
233783546.4955,2.964304
233783596.4955,3.29784
233783646.4955,3.111643
233783696.4955,3.300572
233783746.4955,2.854827
233783796.4955,3.482435
233783846.4955,2.965761
233783896.4955,3.113408
233783946.4955,3.225965
233783996.4955,3.6716
233784046.4955,4.119268
233784096.4955,3.374118
233784146.4955,3.966875
233784196.4955,3.153098
233784246.4955,3.152948
233784296.4955,3.299401
233784346.4955,2.929404
233784396.4955,3.18852
233784446.4955,3.409277
233784496.4955,3.373243
233784546.4955,3.632966
233784596.4955,3.597394
233784646.4955,3.373506
233784696.4955,3.557662
233784746.4955,3.039486
233784796.4955,3.114727
233784846.4955,3.152968
233784896.4955,3.223985
233784946.4955,3.113772
233784996.4955,3.300313
233785046.4955,2.743857
233785096.4955,3.300798
233785146.4955,2.966548
233785196.4955,3.076216
233785246.4955,2.596112
233785296.4955,2.743618
233785346.4955,2.298076
233785396.4955,3.115622
233785446.4955,2.306349
233785496.4955,2.296812
233785546.4955,2.222675
233785596.4955,2.112154
233785646.4955,2.113072
233785696.4955,2.336344
233785746.4955,2.075604
233785796.4955,1.854909
233785846.4955,1.890357
233785896.4955,2.115203
233785946.4955,1.781596
233785996.4955,1.592591
233786046.4955,2.260993
233786096.4955,2.001429
233786146.4955,2.113047
233786196.4955,1.964325
233786246.4955,2.186208
233786296.4955,1.816093
233786346.4955,2.187541
233786396.4955,2.151151
233786446.4955,1.520012
233786496.4955,2.150069
233786546.4955,1.927673
233786596.4955,2.112504
233786646.4955,2.112238
233786696.4955,2.374125
