TIME,RATE
121764922.3553,1.489238
121764972.3553,1.606332
121765022.3553,1.726576
121765072.3553,2.073054
121765122.3553,1.801304
121765172.3553,1.448947
121765222.3553,1.370927
121765272.3553,1.684
121765322.3553,1.174969
121765372.3553,1.325794
121765422.3553,1.056887
121765472.3553,1.679207
121765522.3553,2.076193
121765572.3553,1.253201
121765622.3553,1.564473
121765672.3553,1.95761
121765722.3553,1.68401
121765772.3553,2.117332
121765822.3553,1.723122
121765872.3553,2.312569
121765922.3553,1.680894
121765972.3553,1.520008
121766022.3553,1.645292
121766072.3553,1.72393
121766122.3553,1.527625
121766172.3553,1.606067
121766222.3553,1.605749
121766272.3553,1.646239
121766322.3553,1.445515
121766372.3553,2.076964
121766422.3553,1.174387
121766472.3553,2.113434
121766522.3553,1.449386
121766572.3553,1.526002
121766622.3553,1.525239
121766672.3553,1.528924
121766722.3553,1.450984
121766772.3553,1.723942
121766822.3553,1.605918
121766872.3553,1.292019
121766922.3553,1.879919
121766972.3553,1.563121
121767022.3553,1.488957
121767072.3553,1.564489
121767122.3553,1.488313
121767172.3553,1.801281
121767222.3553,1.606913
121767272.3553,1.40736
121767322.3553,1.439831
121767372.3553,1.837658
121767422.3553,0.9343702
121767472.3553,1.87357
121767522.3553,1.84198
121767572.3553,1.253126
121767622.3553,1.32856
121767672.3553,1.995604
121767722.3553,1.449253
121767772.3553,1.367653
121767822.3553,1.605425
121767872.3553,1.683276
121767922.3553,2.037603
121767972.3553,1.840611
121768022.3553,1.647054
121768072.3553,1.211732
121768122.3553,1.44919
121768172.3553,1.253181
121768222.3553,1.522533
121768272.3553,1.28959
121768322.3553,1.48891
121768372.3553,1.214291
121768422.3553,1.364744
121768472.3553,1.136829
121768522.3553,1.097215
121768572.3553,1.530416
121768622.3553,1.642039
121768672.3553,1.604107
121768722.3553,1.289222
121768772.3553,1.331222
121768822.3553,1.521458
121768872.3553,1.916125
121768922.3553,1.057326
121768972.3553,1.398737
121769022.3553,1.409894
121769072.3553,1.488371
121769122.3553,2.035146
121769172.3553,1.605833
121769222.3553,1.567181
121769272.3553,1.328299
121769322.3553,2.034402
121769372.3553,1.606315
121769422.3553,1.724327
121769472.3553,1.330986
121769522.3553,1.28965
121769572.3553,1.763956
121769622.3553,1.684666
121769672.3553,1.841712
121769722.3553,1.174675
121769772.3553,1.723077
121769822.3553,1.565788
121769872.3553,1.762394
121769922.3553,1.368196
121769972.3553,1.173563
121770022.3553,1.371433
121770072.3553,1.563127
121770122.3553,1.486003
121770172.3553,1.876721
121770222.3553,1.880898
121770272.3553,1.212936
121770322.3553,1.724869
121770372.3553,1.645474
121770422.3553,1.527749
121770472.3553,1.801332
121770522.3553,1.567112
121770572.3553,1.409172
121770622.3553,1.605645
121770672.3553,1.56391
121770722.3553,1.563172
121770772.3553,1.879644
121770822.3553,1.804731
121770872.3553,1.448553
