TIM,RATE
186550849.4464,0.2592954
186550899.4464,0.0285012
186550949.4464,0
186550999.4464,0.0880189
186551049.4464,0.08540069
186551099.4464,0.05679939
186551149.4464,0.1157433
186551199.4464,0.172042
186551249.4464,0.05737259
186551299.4464,0.02863284
186551349.4464,0
186551399.4464,NULL
186551449.4464,0.114685
186551499.4464,0.1136572
186551549.4464,0
186551599.4464,0.1159981
186551649.4464,0.1446415
186551699.4464,0.174417
186551749.4464,0.05691289
186551799.4464,0.05672622
186551849.4464,0.3134954
186551899.4464,0.2558424
186551949.4464,0.3129019
186551999.4464,0.08598039
186552049.4464,0.1137188
186552099.4464,-0.0790839
186552149.4464,0
186552199.4464,0
186552249.4464,0.142085
186552299.4464,0.172083
186552349.4464,0.1990025
186552399.4464,0.1139249
186552449.4464,0.05688848
186552499.4464,0.1138966
186552549.4464,0.2583225
186552599.4464,0.2052645
186552649.4464,0.1420357
186552699.4464,0.08690865
186552749.4464,0.08677298
186552799.4464,0.2847016
186552849.4464,0.1716163
186552899.4464,0.08553206
186552949.4464,0.08653638
186552999.4464,0.1420369
186553049.4464,0.1152123
186553099.4464,0.2007138
186553149.4464,0.08603423
186553199.4464,0.1433464
186553249.4464,0.08527703
186553299.4464,-0.08139593
186553349.4464,0.1421982
186553399.4464,0.1144675
186553449.4464,0.02916273
186553499.4464,0.02851163
186553549.4464,0.2016933
186553599.4464,0.1143447
186553649.4464,0.08536638
186553699.4464,0.1995588
186553749.4464,0.1991079
186553799.4464,0.2555154
186553849.4464,0.1421781
186553899.4464,0.1420214
186553949.4464,0.2270128
186553999.4464,0.1705684
186554049.4464,0
186554099.4464,NULL
186554149.4464,1.535869
186554199.4464,0.6592949
186554249.4464,0.3728501
186554299.4464,0.6019533
186554349.4464,0
186554399.4464,NULL
186554449.4464,NULL
186554499.4464,NULL
186554549.4464,1.67234
186554599.4464,1.290538
186554649.4464,1.230611
186554699.4464,1.455235
186554749.4464,0
186554799.4464,NULL
186554849.4464,1.089133
186554899.4464,1.1392
186554949.4464,1.475667
186554999.4464,1.002492
186555049.4464,1.023752
186555099.4464,0.4891518
186555149.4464,0.3753903
186555199.4464,0.3156655
186555249.4464,0
186555299.4464,NULL
186555349.4464,0.5515062
186555399.4464,0.0286156
186555449.4464,0.1140427
186555499.4464,0.2003575
186555549.4464,0.08727958
186555599.4464,0.1419316
186555649.4464,0.1140687
186555699.4464,0.02876047
186555749.4464,-0.08038722
186555799.4464,0.1148045
186555849.4464,0.1137323
186555899.4464,0.3994321
186555949.4464,0.4306818
186555999.4464,0.6544662
186556049.4464,0.3401196
186556099.4464,0.3453636
186556149.4464,0.2296719
186556199.4464,0.3698284
186556249.4464,0.3410979
186556299.4464,0.2869577
186556349.4464,0.2275539
186556399.4464,0.3412051
186556449.4464,0.1989977
186556499.4464,0.4313682
186556549.4464,0.173172
186556599.4464,0.2864742
186556649.4464,0.2291934
186556699.4464,0.1722526
186556749.4464,0.2305984
186556799.4464,0.06266797
186556849.4464,0.2324807
186556899.4464,0.1705398
186556949.4464,0.1422188
186556999.4464,0.1143424
186557049.4464,0.1146575
186557099.4464,0
186557149.4464,0.200241
186557199.4464,0.2272548
186557249.4464,0.11444
186557299.4464,0.3444508
186557349.4464,0.3702332
186557399.4464,0.3442484
186557449.4464,0.4901779
186557499.4464,0.4846781
186557549.4464,0.4832917
186557599.4464,0.6314823
186557649.4464,0.6021609
186557699.4464,0.6270099
186557749.4464,0.6071405
186557799.4464,0.7754407
186557849.4464,1.060263
186557899.4464,1.147489
186557949.4464,1.786722
186557999.4464,1.590533
186558049.4464,1.194226
186558099.4464,1.337847
186558149.4464,0.6897739
186558199.4464,0.7385492
186558249.4464,0.4283558
186558299.4464,0.2312645
186558349.4464,0.2307602
186558399.4464,0.4617793
186558449.4464,0.4905542
186558499.4464,0.7454592
186558549.4464,0.3126105
186558599.4464,0.3974984
186558649.4464,0.6265423
186558699.4464,0.2582053
186558749.4464,0.2846999
186558799.4464,0.4296245
186558849.4464,0.5121546
186558899.4464,0.7963049
186558949.4464,0.8529844
186558999.4464,0.7380393
186559049.4464,1.492525
186559099.4464,1.917903
186559149.4464,0.9513284
186559199.4464,0.6311873
186559249.4464,0.57173
186559299.4464,0.4821035
186559349.4464,0.9751111
186559399.4464,0.918828
186559449.4464,0.6583434
186559499.4464,0.4836375
186559549.4464,0.7695331
186559599.4464,0.6046807
186559649.4464,0.8234381
186559699.4464,0.7457042
186559749.4464,0.3703562
186559799.4464,0.2001881
186559849.4464,0.1702555
186559899.4464,0.625451
186559949.4464,0.9170237
186559999.4464,0.4837761
186560049.4464,0.5740314
186560099.4464,1.000313
186560149.4464,0.5171561
186560199.4464,0.9365152
186560249.4464,0.6834164
186560299.4464,0.5397145
186560349.4464,0.2567692
186560399.4464,0.5115798
186560449.4464,0.5802829
186560499.4464,0.2847551
186560549.4464,0.3463622
186560599.4464,0.08521342
186560649.4464,0.227969
186560699.4464,0.2295093
186560749.4464,0.3146154
186560799.4464,0.4823264
186560849.4464,0.4590552
186560899.4464,0.769053
186560949.4464,0.4861137
186560999.4464,0.8871848
186561049.4464,0.9720346
186561099.4464,0.9651774
186561149.4464,1.213664
186561199.4464,0.5964006
186561249.4464,0.6542878
186561299.4464,0.372336
186561349.4464,0.4868218
186561399.4464,0.6556874
186561449.4464,0.5688804
186561499.4464,0.4881333
186561549.4464,1.225989
186561599.4464,1.3955
186561649.4464,0.9447445
186561699.4464,0.5692204
186561749.4464,0.37007
186561799.4464,0.5962364
186561849.4464,0.5694826
186561899.4464,0.3133474
186561949.4464,0.4002573
186561999.4464,0.315111
186562049.4464,0.4576281
186562099.4464,0.1425823
186562149.4464,0.2846549
186562199.4464,0.5113352
186562249.4464,0.3141747
186562299.4464,0.3450367
186562349.4464,0.8311063
186562399.4464,1.053395
186562449.4464,1.556137
186562499.4464,1.168195
186562549.4464,1.107681
186562599.4464,0.5769384
186562649.4464,0.6275927
186562699.4464,0.7716458
186562749.4464,1.233016
186562799.4464,0.7679171
186562849.4464,0.7956361
186562899.4464,0.6971689
186562949.4464,0.9944222
186562999.4464,1.165916
186563049.4464,1.263804
186563099.4464,0.8837554
186563149.4464,0.8877662
186563199.4464,0.8623152
186563249.4464,0.7729669
186563299.4464,0.6544543
186563349.4464,1.006901
186563399.4464,0.857819
186563449.4464,1.832809
186563499.4464,1.291124
186563549.4464,0.8253928
186563599.4464,0.7731954
186563649.4464,0.7439389
186563699.4464,0.5978276
186563749.4464,1.151499
186563799.4464,1.441286
186563849.4464,1.254295
186563899.4464,0.8253228
186563949.4464,0.9139575
186563999.4464,0.5438666
186564049.4464,0.6891101
186564099.4464,0.5390201
186564149.4464,0.2847737
186564199.4464,0.2839053
186564249.4464,0.5428386
186564299.4464,0.7685919
186564349.4464,0.8255809
186564399.4464,0.6560396
186564449.4464,0.4037918
186564499.4464,0.5406334
186564549.4464,0.663836
186564599.4464,0.5098398
186564649.4464,1.578766
186564699.4464,1.367229
186564749.4464,1.449435
186564799.4464,0.5438848
186564849.4464,0.5686193
186564899.4464,0.6540756
186564949.4464,0.2646063
186564999.4464,0.6692896
186565049.4464,0.716742
186565099.4464,0.740065
186565149.4464,1.314685
186565199.4464,0.911351
186565249.4464,0.9559208
186565299.4464,1.371418
186565349.4464,1.194112
186565399.4464,1.764429
186565449.4464,2.228847
186565499.4464,1.563284
186565549.4464,1.005822
186565599.4464,0.7660365
186565649.4464,1.222674
186565699.4464,0.4553767
186565749.4464,0.3162439
186565799.4464,0.6299961
186565849.4464,0.8811941
186565899.4464,0.8542045
186565949.4464,0.6668099
186565999.4464,0.4026307
186566049.4464,0.5966631
186566099.4464,1.112841
186566149.4464,0.7104039
186566199.4464,0.6534503
186566249.4464,0.5734101
186566299.4464,0.4293553
186566349.4464,0.7459196
186566399.4464,0.6248344
186566449.4464,0.6871896
186566499.4464,0.5112154
186566549.4464,0.5796144
186566599.4464,0.6015936
186566649.4464,0.483434
186566699.4464,0.7393221
186566749.4464,0.8328656
186566799.4464,0.6581126
186566849.4464,0.9964934
186566899.4464,0.6872038
186566949.4464,0.8843103
186566999.4464,0.2577793
186567049.4464,0.4010619
186567099.4464,0.4553607
186567149.4464,0.6875393
186567199.4464,1.022981
186567249.4464,1.135417
186567299.4464,1.56397
186567349.4464,1.589586
186567399.4464,1.004069
186567449.4464,1.376453
186567499.4464,2.07969
186567549.4464,2.333864
186567599.4464,3.018999
186567649.4464,2.96686
186567699.4464,2.207272
186567749.4464,1.370174
186567799.4464,1.166942
186567849.4464,1.569691
186567899.4464,1.560141
186567949.4464,1.632769
186567999.4464,1.224014
186568049.4464,1.309548
186568099.4464,0.8529532
186568149.4464,0.5433791
186568199.4464,0.4297647
186568249.4464,0.4827526
186568299.4464,0.7094576
186568349.4464,1.059487
186568399.4464,0.8800977
186568449.4464,0.4581643
186568499.4464,0.3410431
186568549.4464,0.4249905
186568599.4464,0.625311
186568649.4464,0.5389904
186568699.4464,0.4585809
186568749.4464,0.7470215
186568799.4464,0.9120829
186568849.4464,0.6539663
186568899.4464,0.5732425
186568949.4464,0.5694646
186568999.4464,0.7454934
186569049.4464,2.214205
186569099.4464,2.668033
186569149.4464,1.902132
186569199.4464,2.252752
186569249.4464,1.586751
186569299.4464,2.38514
186569349.4464,0.9439285
186569399.4464,NULL
186569449.4464,1.299384
186569499.4464,2.007698
186569549.4464,1.726547
186569599.4464,1.431951
186569649.4464,2.028535
186569699.4464,1.993646
186569749.4464,1.791174
186569799.4464,NULL
186569849.4464,1.592542
186569899.4464,1.487534
186569949.4464,1.448284
186569999.4464,1.052253
186570049.4464,1.195844
186570099.4464,1.753491
186570149.4464,2.601121
186570199.4464,2.298627
186570249.4464,0
186570299.4464,NULL
186570349.4464,1.027779
186570399.4464,1.00517
186570449.4464,1.023868
186570499.4464,0.4936604
186570549.4464,0.7157
186570599.4464,0.48605
186570649.4464,0.7115532
186570699.4464,0.4940998
186570749.4464,0.63378
186570799.4464,0.4876347
186570849.4464,0.3979086
186570899.4464,0.2595064
186570949.4464,0.4828334
186570999.4464,0.3125418
186571049.4464,0.3704369
186571099.4464,0.4888374
186571149.4464,0.5384425
186571199.4464,0.3289583
186571249.4464,0.2595787
186571299.4464,0.4947098
186571349.4464,0.2276351
186571399.4464,-0.08203188
186571449.4464,0.3289563
186571499.4464,0.2849092
186571549.4464,0.4128222
186571599.4464,0.7138519
186571649.4464,0.7394843
186571699.4464,0.5689604
186571749.4464,0.3415079
186571799.4464,0.31747
186571849.4464,0.4839097
186571899.4464,0.2285551
186571949.4464,0.1990819
186571999.4464,0.08566692
186572049.4464,0.1725407
186572099.4464,0.2847559
186572149.4464,0.3731981
186572199.4464,0.4014551
186572249.4464,0.08656864
186572299.4464,0.2275814
186572349.4464,0.3132259
186572399.4464,0.4269167
186572449.4464,0.1992439
186572499.4464,0.2279857
186572549.4464,0.2577697
186572599.4464,0.1705109
186572649.4464,0.2011052
186572699.4464,0.05665438
186572749.4464,0.2860254
186572799.4464,0.2558908
186572849.4464,0.003447455
186572899.4464,0.1141403
186572949.4464,0.1708565
186572999.4464,0.08677431
186573049.4464,0.08580489
186573099.4464,0.1432443
186573149.4464,0.142079
186573199.4464,0.144636
186573249.4464,0.1429636
186573299.4464,0.08607186
186573349.4464,0.200108
186573399.4464,0.2564918
186573449.4464,0.1431245
186573499.4464,0.1137509
186573549.4464,0.115816
186573599.4464,0.05777568
186573649.4464,0.1717954
186573699.4464,0.05691206
186573749.4464,0.08774304
186573799.4464,0.1711706
186573849.4464,0.2265422
186573899.4464,0.1706033
186573949.4464,-0.2181266
186573999.4464,0.1703272
186574049.4464,0.1136999
186574099.4464,0.1146521
186574149.4464,0.05691306
186574199.4464,0.08604892
186574249.4464,0.143839
186574299.4464,0.1134873
186574349.4464,0
186574399.4464,0
186574449.4464,0.08559252
186574499.4464,0.1434539
186574549.4464,0.11431
186574599.4464,0.02839663
186574649.4464,0.08662468
186574699.4464,0.05677377
186574749.4464,0.1143297
186574799.4464,0.05688614
186574849.4464,0.05740124
186574899.4464,0.02843224
186574949.4464,0
186574999.4464,0.1703283
186575049.4464,0.08658067
186575099.4464,0.113528
186575149.4464,0.06032122
186575199.4464,0.07013838
186575249.4464,-0.110188
186575299.4464,0.02851582
186575349.4464,0.08523128
186575399.4464,0.08520295
186575449.4464,0.06774949
186575499.4464,0.1538084
186575549.4464,0.1148207
186575599.4464,0.02860098
186575649.4464,0.1156072
186575699.4464,0
186575749.4464,0.05739905
186575799.4464,0.02838749
186575849.4464,0.08514906
186575899.4464,0.08519065
186575949.4464,0
186575999.4464,0.172512
186576049.4464,0
186576099.4464,-0.05309188
186576149.4464,0.1422881
186576199.4464,-0.1093568
186576249.4464,0.08540176
186576299.4464,0
186576349.4464,0.1136014
186576399.4464,0.02883431
186576449.4464,0.05730759
186576499.4464,0.08542307
186576549.4464,0.08538193
186576599.4464,0.1418142
186576649.4464,0.02864984
186576699.4464,0.1142978
186576749.4464,0.29544
186576799.4464,0.4548846
186576849.4464,0.6010681
186576899.4464,0.2017722
186576949.4464,0.1702903
186576999.4464,0.1719055
186577049.4464,0.1984264
186577099.4464,0.08731452
186577149.4464,0.02861217
186577199.4464,0.1706048
186577249.4464,0.0291497
186577299.4464,0.02871922
186577349.4464,0.113866
186577399.4464,0.1140523
186577449.4464,0.08582065
186577499.4464,0.0569285
186577549.4464,0.1990625
186577599.4464,0.02858121
186577649.4464,0.113833
186577699.4464,0.08625656
186577749.4464,0.05730657
186577799.4464,0.02851871
186577849.4464,0.05685824
186577899.4464,-0.113136
186577949.4464,0.1435219
186577999.4464,0.170604
186578049.4464,0.113801
186578099.4464,-0.1393768
186578149.4464,0.05687492
186578199.4464,0.05735079
186578249.4464,0.1995287
186578299.4464,0.05693677
186578349.4464,0.113536
186578399.4464,0.07071667
186578449.4464,0.08516881
186578499.4464,0.05764172
186578549.4464,0.08511279
186578599.4464,0.08542554
186578649.4464,0.06319515
186578699.4464,0.113882
186578749.4464,0.1142827
186578799.4464,0.1715575
186578849.4464,0.2561075
186578899.4464,0.09195617
186578949.4464,0.1739251
186578999.4464,0.4029312
186579049.4464,0.1144703
186579099.4464,0.2556982
186579149.4464,0.1432155
186579199.4464,0.2553193
186579249.4464,0.1703654
186579299.4464,0.198946
186579349.4464,0.1155542
186579399.4464,0.1433437
186579449.4464,0.1420827
186579499.4464,0.05682158
186579549.4464,0.1139655
186579599.4464,0.1431848
186579649.4464,0.1991663
186579699.4464,0.05660504
186579749.4464,0.02863328
186579799.4464,-0.02557983
186579849.4464,0
186579899.4464,0.05761359
186579949.4464,0.08526262
186579999.4464,0.1421587
186580049.4464,-0.1117794
186580099.4464,0.1703953
186580149.4464,-0.05383865
186580199.4464,0.1161289
186580249.4464,0.2004442
186580299.4464,0.1714809
186580349.4464,0.1436145
186580399.4464,0.05798325
186580449.4464,0.1157592
186580499.4464,0.1417247
186580549.4464,0.2612197
186580599.4464,0.1428225
186580649.4464,0.2835391
186580699.4464,0.113355
186580749.4464,0.1146102
186580799.4464,0.1137616
186580849.4464,0.0855009
186580899.4464,-0.1084847
186580949.4464,0.02839832
186580999.4464,0.02881043
186581049.4464,0.08531189
186581099.4464,0.1433686
186581149.4464,0
186581199.4464,0.1700827
186581249.4464,0.230761
186581299.4464,0.1433671
186581349.4464,0.2273704
186581399.4464,0.1704547
186581449.4464,0.2008912
186581499.4464,0.3148427
186581549.4464,0.1434049
186581599.4464,0.4826915
186581649.4464,0.2271432
186581699.4464,0.2581519
186581749.4464,0.2297684
186581799.4464,0.4611599
186581849.4464,0.6251209
186581899.4464,0.7532876
186581949.4464,0.9397376
186581999.4464,1.803298
186582049.4464,0.8332174
186582099.4464,1.025467
186582149.4464,0.5116476
186582199.4464,0.9943429
186582249.4464,0.7679223
186582299.4464,0.595854
186582349.4464,0.3979633
186582399.4464,0.4268054
186582449.4464,0.4536463
186582499.4464,0.7704604
186582549.4464,0.5472434
186582599.4464,1.220616
186582649.4464,1.280968
186582699.4464,0.6067886
186582749.4464,0.9484859
186582799.4464,0.6004544
186582849.4464,0.664572
186582899.4464,0.6238937
186582949.4464,0.5127389
186582999.4464,0.5968137
186583049.4464,0.6587651
186583099.4464,NULL
186583149.4464,NULL
186583199.4464,NULL
186583249.4464,0.4941097
186583299.4464,0.4325901
186583349.4464,0.4873183
186583399.4464,0.5161549
186583449.4464,0.5397622
186583499.4464,0.4317871
186583549.4464,0.3691754
186583599.4464,0.6662217
186583649.4464,0.428086
186583699.4464,0.4873604
186583749.4464,0.7136292
186583799.4464,0.5457196
186583849.4464,0.5956731
186583899.4464,1.021934
186583949.4464,0.8043183
186583999.4464,0.7522584
186584049.4464,0.6549523
186584099.4464,0.7126346
186584149.4464,0.4929327
186584199.4464,0.9469042
186584249.4464,0.8272772
186584299.4464,1.256455
186584349.4464,1.231266
186584399.4464,0.5745118
186584449.4464,0.8275632
186584499.4464,0.8550132
186584549.4464,0.5674434
186584599.4464,0.7215867
186584649.4464,1.230239
186584699.4464,0.964864
186584749.4464,0.7972718
186584799.4464,1.051886
186584849.4464,0.973118
186584899.4464,0.8232076
186584949.4464,2.385243
186584999.4464,1.247811
186585049.4464,1.862666
186585099.4464,1.98712
186585149.4464,1.349147
186585199.4464,0.896484
186585249.4464,0.6113696
186585299.4464,1.14307
186585349.4464,1.066751
186585399.4464,1.194013
186585449.4464,0.9183502
186585499.4464,1.139877
186585549.4464,1.038417
186585599.4464,1.338186
186585649.4464,0.7812161
186585699.4464,0.6835456
186585749.4464,0.7114819
186585799.4464,0.9719977
186585849.4464,1.052674
186585899.4464,1.280955
186585949.4464,1.199474
186585999.4464,0.7233217
186586049.4464,0.5689396
186586099.4464,0.6254665
186586149.4464,0.7962771
186586199.4464,0.828101
186586249.4464,0.7512941
186586299.4464,0.5689064
186586349.4464,0.541636
186586399.4464,0.6264799
186586449.4464,0.5157828
186586499.4464,0.8999998
186586549.4464,0.7688024
186586599.4464,0.6537657
186586649.4464,0.7794872
186586699.4464,0.9170473
186586749.4464,0.4920449
186586799.4464,1.119245
186586849.4464,0.994484
186586899.4464,0.8380229
186586949.4464,0.5965665
186586999.4464,0.4901967
186587049.4464,0.4263285
186587099.4464,0.2870945
186587149.4464,0.1990056
186587199.4464,0.3409002
186587249.4464,0.1724898
186587299.4464,0.1995239
186587349.4464,0.3690864
186587399.4464,0.1992283
186587449.4464,0.3444929
186587499.4464,0.3427033
186587549.4464,0.3409531
186587599.4464,0.1139977
186587649.4464,0.4016151
