TIME,RATE
186550849.4464,0.2150329
186550899.4464,0.04254473
186550949.4464,0
186550999.4464,0.1313889
186551049.4464,0.08498704
186551099.4464,0.04239322
186551149.4464,0.08638706
186551199.4464,0.2140109
186551249.4464,0.04282103
186551299.4464,0.04274124
186551349.4464,0.04258313
186551399.4464,0.1297048
186551449.4464,0.1710305
186551499.4464,0.127245
186551549.4464,0
186551599.4464,0.1298658
186551649.4464,0.1295469
186551699.4464,0.1735722
186551749.4464,0.04247792
186551799.4464,0.0423386
186551849.4464,0.3403386
186551899.4464,0.339471
186551949.4464,0.3396942
186551999.4464,0.08556394
186552049.4464,0.08487597
186552099.4464,-0.113279
186552149.4464,0.04257882
186552199.4464,0
186552249.4464,0.1696761
186552299.4464,0.2140619
186552349.4464,0.2546211
186552399.4464,0.1700597
186552449.4464,0.08491941
186552499.4464,0.08500871
186552549.4464,0.385607
186552599.4464,0.3064055
186552649.4464,0.08480865
186552699.4464,0.2547875
186552749.4464,0.04317635
186552799.4464,0.2549904
186552849.4464,0.1280888
186552899.4464,0.1276767
186552949.4464,0.08611724
186552999.4464,0.2120234
186553049.4464,0.08599072
186553099.4464,0.2568106
186553149.4464,0.04280876
186553199.4464,0.1711825
186553249.4464,0.127296
186553299.4464,-0.1593357
186553349.4464,0.1698113
186553399.4464,0.1281522
186553449.4464,0.04353222
186553499.4464,0.0425603
186553549.4464,0.2150533
186553599.4464,0.08534312
186553649.4464,0.0849529
186553699.4464,0.2978884
186553749.4464,0.2122966
186553799.4464,0.1695185
186553849.4464,0.1273405
186553899.4464,0.2120003
186553949.4464,0.2541524
186553999.4464,0.2121779
186554049.4464,-0.0289267
186554099.4464,0.5086167
186554149.4464,1.376551
186554199.4464,0.7702062
186554249.4464,0.428128
186554299.4464,0.7701914
186554349.4464,0.8962795
186554399.4464,0.8570669
186554449.4464,0.7654636
186554499.4464,1.446263
186554549.4464,1.495989
186554599.4464,1.327097
186554649.4464,1.15345
186554699.4464,1.433704
186554749.4464,1.44378
186554799.4464,0.8044952
186554849.4464,1.146903
186554899.4464,1.147853
186554949.4464,1.313195
186554999.4464,0.8978727
186555049.4464,1.146143
186555099.4464,0.5583683
186555149.4464,0.1786573
186555199.4464,0.428368
186555249.4464,0.3450441
186555299.4464,0.2238749
186555349.4464,0.6019741
186555399.4464,0
186555449.4464,0.08511776
186555499.4464,0.213629
186555549.4464,0.08685683
186555599.4464,0.169493
186555649.4464,0.04256857
186555699.4464,0.04293176
186555749.4464,-0.1578147
186555799.4464,0.08568635
186555849.4464,0.08488606
186555899.4464,0.3407121
186555949.4464,0.3500019
186555999.4464,0.5946618
186556049.4464,0.2961632
186556099.4464,0.3007294
186556149.4464,0.1714196
186556199.4464,0.3397266
186556249.4464,0.3818765
186556299.4464,0.4283517
186556349.4464,0.297218
186556399.4464,0.2546644
186556449.4464,0.254615
186556499.4464,0.4722068
186556549.4464,0.08616664
186556599.4464,0.256578
186556649.4464,0.3421249
186556699.4464,0.1285637
186556749.4464,0.1721111
186556799.4464,-0.07247266
186556849.4464,0.260274
186556899.4464,0.1697138
186556949.4464,0.2547539
186556999.4464,0.1706829
186557049.4464,0.1711533
186557099.4464,0
186557149.4464,0.2989067
186557199.4464,0.2120195
186557249.4464,0.08541425
186557299.4464,0.3427824
186557349.4464,0.4676354
186557399.4464,0.2569358
186557449.4464,0.4734565
186557499.4464,0.5532615
186557549.4464,0.5516789
186557599.4464,0.7284002
186557649.4464,0.4708348
186557699.4464,0.8083287
186557749.4464,0.6905141
186557799.4464,0.7288134
186557849.4464,1.112162
186557899.4464,1.24185
186557949.4464,1.9358
186557999.4464,1.483902
186558049.4464,1.400664
186558099.4464,0.9347899
186558149.4464,0.729335
186558199.4464,0.9328492
186558249.4464,0.5541654
186558299.4464,0.05273876
186558349.4464,0.3014057
186558399.4464,0.2673872
186558449.4464,0.5168946
186558499.4464,0.6847833
186558549.4464,0.3818001
186558599.4464,0.3814455
186558649.4464,0.6376783
186558699.4464,0.2997805
186558749.4464,0.1699926
186558799.4464,0.5130523
186558849.4464,0.3822555
186558899.4464,0.7641463
186558949.4464,1.018623
186558999.4464,0.7627132
186559049.4464,1.542423
186559099.4464,1.880127
186559149.4464,0.8606551
186559199.4464,0.5995788
186559249.4464,0.5120648
186559299.4464,0.4656576
186559349.4464,0.9846585
186559399.4464,1.114398
186559449.4464,0.5127298
186559499.4464,0.4671393
186559549.4464,0.6807163
186559599.4464,0.6877165
186559649.4464,0.890092
186559699.4464,0.6850083
186559749.4464,0.2551586
186559799.4464,0.1707587
186559849.4464,0.1694308
186559899.4464,0.6790054
186559949.4464,0.8983229
186559999.4464,0.3823144
186560049.4464,0.5569698
186560099.4464,0.9385841
186560149.4464,0.6862016
186560199.4464,1.059067
186560249.4464,0.7226129
186560299.4464,0.6360399
186560349.4464,0.2555255
186560399.4464,0.5939522
186560449.4464,0.6929668
186560499.4464,0.340051
186560549.4464,0.4308557
186560599.4464,0.127201
186560649.4464,0.1701486
186560699.4464,0.299772
186560749.4464,0.3415544
186560799.4464,0.4235208
186560849.4464,0.5139357
186560899.4464,0.7947639
186560949.4464,0.5122156
186560999.4464,0.8544074
186561049.4464,1.024228
186561099.4464,0.9746276
186561149.4464,1.207785
186561199.4464,0.5935119
186561249.4464,0.6794282
186561299.4464,0.34203
186561349.4464,0.5129617
186561399.4464,0.5532163
186561449.4464,0.4670531
186561499.4464,0.6000676
186561549.4464,1.276797
186561599.4464,1.451966
186561649.4464,1.025638
186561699.4464,0.5947866
186561749.4464,0.2974549
186561799.4464,0.4662024
186561849.4464,0.5100518
186561899.4464,0.2551334
186561949.4464,0.341416
186561999.4464,0.2993309
186562049.4464,0.4269484
186562099.4464,0.1277025
186562149.4464,0.3824228
186562199.4464,0.5088586
186562249.4464,0.2984415
186562299.4464,0.4292069
186562349.4464,0.983941
186562399.4464,1.104957
186562449.4464,1.813226
186562499.4464,1.318487
186562549.4464,1.18711
186562599.4464,0.7320336
186562649.4464,0.6387473
186562699.4464,0.5119389
186562749.4464,1.284116
186562799.4464,0.8066531
186562849.4464,0.8059214
186562899.4464,0.5203441
186562949.4464,1.102703
186562999.4464,1.146119
186563049.4464,1.372018
186563099.4464,0.8511048
186563149.4464,0.8977158
186563199.4464,0.6436039
186563249.4464,0.8119577
186563299.4464,0.6371261
186563349.4464,1.037986
186563399.4464,0.8536642
186563449.4464,1.795432
186563499.4464,1.327699
186563549.4464,0.849719
186563599.4464,0.7267032
186563649.4464,0.7688101
186563699.4464,0.5524368
186563749.4464,1.203218
186563799.4464,1.764195
186563849.4464,1.02127
186563899.4464,0.8071645
186563949.4464,0.9379536
186563999.4464,0.3845598
186564049.4464,0.7286332
186564099.4464,0.5505253
186564149.4464,0.255055
186564199.4464,0.3390363
186564249.4464,0.5970736
186564299.4464,0.9348402
186564349.4464,0.8499126
186564399.4464,0.5109355
186564449.4464,0.1819506
186564499.4464,0.5521731
186564549.4464,0.6893433
186564599.4464,0.5496513
186564649.4464,1.97104
186564699.4464,1.318088
186564749.4464,1.357567
186564799.4464,0.5127636
186564849.4464,0.5517185
186564899.4464,0.8065594
186564949.4464,0.2281857
186564999.4464,0.6515686
186565049.4464,0.6419435
186565099.4464,0.5523604
186565149.4464,1.407864
186565199.4464,0.7227153
186565249.4464,0.9080503
186565299.4464,1.393813
186565349.4464,1.273208
186565399.4464,1.65676
186565449.4464,2.419692
186565499.4464,1.527426
186565549.4464,1.079195
186565599.4464,0.7623261
186565649.4464,1.2309
186565699.4464,0.3398783
186565749.4464,0.300407
186565799.4464,0.6411934
186565849.4464,1.018366
186565899.4464,0.8075638
186565949.4464,0.5626006
186565999.4464,0.3863705
186566049.4464,0.5513608
186566099.4464,0.9370742
186566149.4464,0.8483557
186566199.4464,0.5089189
186566249.4464,0.5991644
186566299.4464,0.5554584
186566349.4464,0.770857
186566399.4464,0.63594
186566449.4464,0.6838611
186566499.4464,0.5935292
186566549.4464,0.6921685
186566599.4464,0.513154
186566649.4464,0.5942907
186566699.4464,0.7215922
186566749.4464,0.9860238
186566799.4464,0.7261125
186566849.4464,0.8925002
186566899.4464,0.5983909
186566949.4464,0.8942211
186566999.4464,0.1350047
186567049.4464,0.4703906
186567099.4464,0.3398664
186567149.4464,0.8124984
186567199.4464,0.9331909
186567249.4464,1.173376
186567299.4464,1.655438
186567349.4464,1.567763
186567399.4464,1.027755
186567449.4464,1.412592
186567499.4464,1.983383
186567549.4464,2.549152
