TIME,RATE
662833270.9008,0.3094237
662833320.9008,0.4808979
662833370.9008,0.4236586
662833420.9008,0.4156623
662833470.9008,0.4220368
662833520.9008,0.7964178
662833570.9008,0.6076304
662833620.9008,0.5603864
662833670.9008,0.6160331
662833720.9008,0.4232008
662833770.9008,0.5006387
662833820.9008,0.5663666
662833870.9008,0.5312393
662833920.9008,0.4349953
662833970.9008,0.5171306
662834020.9008,0.6356578
662834070.9008,0.6735814
662834120.9008,0.3359891
662834170.9008,0.5983881
662834220.9008,0.535946
662834270.9008,0.7477701
662834320.9008,0.4901222
662834370.9008,0.4562828
662834420.9008,0.6050031
662834470.9008,0.5773028
662834520.9008,0.8364825
662834570.9008,1.081116
662834620.9008,0.4477028
662834670.9008,0.5347392
662834720.9008,0.5684917
662834770.9008,0.4533497
662834820.9008,0.4207844
662834870.9008,0
662834920.9008,NULL
662834970.9008,0.1975654
662835020.9008,0.3341954
662835070.9008,0.3700559
662835120.9008,0.3147101
662835170.9008,0.4302914
662835220.9008,0.4541274
662835270.9008,0.5051998
662835320.9008,0.4840949
662835370.9008,0.1346057
662835420.9008,0.1839117
662835470.9008,0.5311819
662835520.9008,0.05475855
662835570.9008,0.4015316
662835620.9008,0.2993104
662835670.9008,0.3167417
662835720.9008,0.6927028
662835770.9008,1.159909
662835820.9008,0.6736165
662835870.9008,0.9005592
662835920.9008,0.691514
662835970.9008,0.683565
662836020.9008,0.5229636
662836070.9008,0.5079113
662836120.9008,0.4279105
662836170.9008,0.256339
662836220.9008,0.4004796
662836270.9008,0.3403591
662836320.9008,0.3253366
662836370.9008,0.3919107
662836420.9008,0.3288351
662836470.9008,0.5130655
662836520.9008,0.3766195
662836570.9008,0.7181311
662836620.9008,0.424154
662836670.9008,0.3858133
662836720.9008,0.2637705
662836770.9008,0.4745925
662836820.9008,0.2944666
662836870.9008,0.3455479
662836920.9008,0.4370427
662836970.9008,0.3427315
662837020.9008,0.2894019
662837070.9008,0.5383991
662837120.9008,0.3733909
662837170.9008,0.5344537
662837220.9008,0.5830043
662837270.9008,0.5651135
662837320.9008,0.3744196
662837370.9008,0.7559123
662837420.9008,0.4496147
662837470.9008,0.5700029
662837520.9008,0.1854418
662837570.9008,0.6174384
662837620.9008,0.7003716
662837670.9008,0.510912
662837720.9008,0.6115843
662837770.9008,0.5717921
662837820.9008,0.4465013
662837870.9008,0.2105831
662837920.9008,0.3323821
662837970.9008,0.4503435
662838020.9008,0.1053488
662838070.9008,0.1067008
662838120.9008,0.1754795
662838170.9008,0.2695443
662838220.9008,0.1754922
662838270.9008,0.1323954
662838320.9008,0.2662273
662838370.9008,0.3843499
662838420.9008,0.2143426
662838470.9008,0.1351634
662838520.9008,0.1170958
662838570.9008,0.3460411
662838620.9008,-0.02434725
662838670.9008,0.2648091
662838720.9008,0.2577675
662838770.9008,0.06934165
662838820.9008,0.3223743
662838870.9008,0.3145949
662838920.9008,0.2697109
662838970.9008,0.2662079
662839020.9008,0.3295208
662839070.9008,0.289093
662839120.9008,0.2753216
662839170.9008,0.4055485
662839220.9008,0.3681218
662839270.9008,0.2023547
662839320.9008,0.3283311
662839370.9008,0.5082802
662839420.9008,0.09226471
662839470.9008,0.6139309
662839520.9008,0.6602276
662839570.9008,0.5252178
662839620.9008,0.2448396
662839670.9008,0.3898784
662839720.9008,-0.05093425
662839770.9008,0.6257524
662839820.9008,0.294653
662839870.9008,0.4800794
662839920.9008,0.3980723
662839970.9008,0.2958545
662840020.9008,0.4311306
662840070.9008,0.1586834
662840120.9008,0.3684922
662840170.9008,0.38704
662840220.9008,0.1959481
662840270.9008,0.5077958
662840320.9008,0.4590194
662840370.9008,0.8809838
662840420.9008,0.5710105
662840470.9008,0.5265667
662840520.9008,0.4465629
662840570.9008,0.3637822
662840620.9008,0.4979208
662840670.9008,0.4322051
662840720.9008,0.3495977
662840770.9008,0.4377445
662840820.9008,0.4012108
662840870.9008,0.1322587
662840920.9008,0.1206067
662840970.9008,0.5266415
662841020.9008,0.3072157
662841070.9008,0.4065883
662841120.9008,0.4084108
662841170.9008,0.1738021
662841220.9008,0.2818964
662841270.9008,0.199724
662841320.9008,0.1956801
662841370.9008,0.4578057
662841420.9008,0.05286081
662841470.9008,0.4020876
662841520.9008,0.07069687
662841570.9008,-0.00910072
662841620.9008,0.333729
662841670.9008,0.1867092
662841720.9008,0.2480956
662841770.9008,0.09795488
662841820.9008,0.1051137
662841870.9008,0.315639
662841920.9008,0.4852374
662841970.9008,0.4588229
662842020.9008,0.1846377
662842070.9008,0.3793275
662842120.9008,NULL
662842170.9008,0.4801078
662842220.9008,0.5355703
662842270.9008,0.3970823
662842320.9008,0.3459174
662842370.9008,0.2037797
662842420.9008,0.3698897
662842470.9008,0.4786564
662842520.9008,0.3038509
662842570.9008,0.3501811
662842620.9008,0.4054181
662842670.9008,0.4868153
662842720.9008,0.279889
662842770.9008,0.2019745
662842820.9008,0.1870371
662842870.9008,0
662842920.9008,NULL
662842970.9008,0.3189051
662843020.9008,0.2129842
662843070.9008,0.005635369
662843120.9008,0.2551984
662843170.9008,0.368728
662843220.9008,0.3432474
662843270.9008,0.421877
662843320.9008,0.4489444
662843370.9008,0.3517204
662843420.9008,0.4017435
662843470.9008,0.3737435
662843520.9008,0.6159173
662843570.9008,0.4164551
662843620.9008,0.3328701
662843670.9008,0.2507162
662843720.9008,0.3719013
662843770.9008,0.3659408
662843820.9008,0.3989002
662843870.9008,0.4564998
662843920.9008,0.3058974
662843970.9008,0.4194547
662844020.9008,0.637282
662844070.9008,0.3545933
662844120.9008,NULL
662844170.9008,0.7363794
662844220.9008,0.5875569
662844270.9008,0.6314159
662844320.9008,0.7339615
662844370.9008,0.6120102
662844420.9008,0.6310303
662844470.9008,0.6035474
662844520.9008,0.7907025
662844570.9008,0.6597092
662844620.9008,0.8732713
662844670.9008,1.173059
662844720.9008,0.8673855
662844770.9008,0.8136294
662844820.9008,0.8304439
662844870.9008,1.014107
662844920.9008,0.4156494
662844970.9008,0.6373737
662845020.9008,0.7384377
662845070.9008,0.4776206
662845120.9008,0.3925392
662845170.9008,0.5449035
662845220.9008,0.420816
662845270.9008,0.5377842
662845320.9008,0.5115454
662845370.9008,0.3821584
662845420.9008,0.7691379
662845470.9008,0.8933194
662845520.9008,0.331618
662845570.9008,0.5582976
662845620.9008,0.5046439
662845670.9008,0.3105523
662845720.9008,0.2402743
662845770.9008,0.5245383
662845820.9008,0.4507349
662845870.9008,0.5635791
662845920.9008,0.5197727
662845970.9008,0.6977435
662846020.9008,NULL
