TIME,RATE
108981739.0581,2.551047
108981789.0581,1.497111
108981839.0581,2.470033
108981889.0581,2.199193
108981939.0581,2.187258
108981989.0581,3.045907
108982039.0581,2.430505
108982089.0581,1.984148
108982139.0581,2.148541
108982189.0581,2.746943
108982239.0581,2.178899
108982289.0581,2.545834
108982339.0581,2.391287
108982389.0581,2.416701
108982439.0581,2.092487
108982489.0581,2.305357
108982539.0581,2.750279
108982589.0581,2.148568
108982639.0581,2.05362
108982689.0581,3.044008
108982739.0581,1.861702
108982789.0581,2.431983
108982839.0581,2.390147
108982889.0581,1.861997
108982939.0581,2.670509
108982989.0581,2.327953
108983039.0581,2.186787
108983089.0581,2.321533
108983139.0581,2.765221
108983189.0581,2.513928
108983239.0581,2.56304
108983289.0581,2.674753
108983339.0581,2.507412
108983389.0581,2.268401
108983439.0581,2.424024
108983489.0581,2.870944
108983539.0581,2.635399
108983589.0581,2.871964
108983639.0581,3.032525
108983689.0581,2.342461
108983739.0581,2.707223
108983789.0581,3.164819
108983839.0581,2.75242
108983889.0581,2.717337
108983939.0581,3.153255
108983989.0581,2.711818
108984039.0581,2.435948
108984089.0581,2.508813
108984139.0581,2.876375
108984189.0581,2.830189
108984239.0581,2.386272
108984289.0581,2.593736
108984339.0581,2.553508
108984389.0581,2.587181
108984439.0581,2.673021
108984489.0581,2.672394
108984539.0581,2.125562
108984589.0581,2.628676
108984639.0581,2.35876
108984689.0581,2.067898
108984739.0581,2.483565
108984789.0581,3.241663
108984839.0581,2.18764
108984889.0581,2.436681
108984939.0581,3.242068
108984989.0581,2.07485
108985039.0581,2.878856
108985089.0581,2.471153
108985139.0581,2.713279
108985189.0581,2.839231
108985239.0581,2.130366
108985289.0581,2.830931
108985339.0581,2.952476
108985389.0581,2.79095
108985439.0581,2.337423
108985489.0581,2.678711
108985539.0581,2.675039
108985589.0581,2.427787
108985639.0581,2.995934
108985689.0581,2.225295
108985739.0581,2.529551
108985789.0581,2.386219
108985839.0581,2.875497
108985889.0581,2.360276
108985939.0581,2.389824
108985989.0581,2.766324
108986039.0581,2.095367
108986089.0581,2.1842
108986139.0581,3.032018
108986189.0581,2.511945
108986239.0581,2.353737
108986289.0581,2.753186
108986339.0581,2.490273
108986389.0581,2.186709
108986439.0581,2.230397
108986489.0581,2.593282
108986539.0581,2.953762
108986589.0581,2.894875
108986639.0581,2.287631
108986689.0581,3.072822
108986739.0581,2.586698
108986789.0581,2.670837
108986839.0581,2.509922
108986889.0581,2.672641
108986939.0581,2.790729
108986989.0581,2.228057
108987039.0581,3.267013
108987089.0581,2.887869
108987139.0581,2.022404
108987189.0581,3.233339
108987239.0581,2.586157
108987289.0581,2.349468
108987339.0581,2.307703
108987389.0581,2.470594
108987439.0581,2.466797
108987489.0581,2.673801
108987539.0581,2.265871
108987589.0581,2.302623
108987639.0581,3.283414
108987689.0581,2.74969
108987739.0581,2.787431
108987789.0581,2.749721
108987839.0581,2.872401
108987889.0581,3.008488
108987939.0581,3.152644
108987989.0581,3.074917
108988039.0581,2.757782
108988089.0581,2.471312
108988139.0581,2.251788
108988189.0581,2.343281
108988239.0581,1.900442
108988289.0581,2.633292
108988339.0581,2.790822
108988389.0581,2.550574
108988439.0581,2.283249
108988489.0581,2.830945
108988539.0581,2.875171
108988589.0581,2.311522
108988639.0581,2.424501
108988689.0581,3.071263
108988739.0581,2.387914
108988789.0581,2.406544
108988839.0581,3.151099
108988889.0581,2.391331
108988939.0581,2.101491
108988989.0581,2.837545
108989039.0581,2.425176
108989089.0581,2.645637
108989139.0581,3.357858
108989189.0581,3.486414
108989239.0581,2.360552
108989289.0581,2.912055
108989339.0581,2.546399
108989389.0581,2.915721
